Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,OperatorSet,Satellite,Team,UnblindingStage,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-16 18:36:26+00:00,703,2297,3149,1445,1-sigma confidence interval,+/- 1 sigma,3.8,359,191,2021-10-16 18:36:26+00:00,PRISMA/Kayrros,PRISMA,Kayrros,1,8,218645,130047.8209,131662.4619,2354.762994,2205.632836,2507.833888,2370.589414,2227.353227,2514.438503
2021-10-16 18:36:26+00:00,703,3379,4328,2430,1-sigma confidence interval,+/- 1 sigma,6.18,15.1,191,2021-10-16 18:36:26+00:00,PRISMA/Kayrros,PRISMA,Kayrros,2,8,218645,130047.8209,131662.4619,2355.127527,2215.503484,2499.192432,2372.038095,2232.358161,2518.051399
2021-10-21 18:23:12+00:00,1228,3561,4401,2721,1-sigma confidence interval,+/- 1 sigma,2.2,6,191,2021-10-21 18:23:12+00:00,PRISMA/Kayrros,PRISMA,Kayrros,1,8,218645,248276.6867,239922.8433,4472.503094,4231.395494,4716.542546,4316.960164,4092.888048,4545.999557
2021-10-21 18:23:12+00:00,1228,4781,5727,3835,1-sigma confidence interval,+/- 1 sigma,3.89,42.9,191,2021-10-21 18:23:12+00:00,PRISMA/Kayrros,PRISMA,Kayrros,2,8,218645,248276.6867,239922.8433,4476.377336,4233.056563,4737.667879,4323.598851,4077.777118,4586.91184
2021-10-27 18:26:30+00:00,422,5479,6821,4137,1-sigma confidence interval,+/- 1 sigma,3.8,350,191,2021-10-27 18:26:30+00:00,PRISMA/Kayrros,PRISMA,Kayrros,1,8,218645,190816.7067,192626.1333,3439.615756,3244.438985,3653.94887,3465.229462,3268.779767,3665.973392
2021-10-19 18:24:58+00:00,319,6790,10408,4095,1-sigma confidence interval,+/- 1 sigma,2.9,338,189,2021-10-19 18:24:58+00:00,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,8,218645,398437.5124,382612.9314,7182.47299,6783.904628,7566.070828,6912.853553,6533.68825,7323.183709
2021-10-19 18:24:58+00:00,319,6098,7431,4765,1-sigma confidence interval,+/- 1 sigma,2.49,14.79,189,2021-10-19 18:24:58+00:00,Sentinel-2/Kayrros,Sentinel-2,Kayrros,2,8,218645,398437.5124,382612.9314,7181.45159,6763.748863,7596.603506,6886.934465,6528.752002,7266.097543
2021-10-21 18:10:37+00:00,319,2171,4958,626,1-sigma confidence interval,+/- 1 sigma,2.2,6,189,2021-10-21 18:10:37+00:00,Landsat 8/Kayrros,Landsat 8,Kayrros,1,8,218645,231569,231569,4194.086574,3949.032735,4451.349996,4162.657002,3953.524792,4413.603941
2021-10-21 18:10:37+00:00,319,3234,3921,2547,1-sigma confidence interval,+/- 1 sigma,3.9,47.46,189,2021-10-21 18:10:37+00:00,Landsat 8/Kayrros,Landsat 8,Kayrros,2,8,218645,231569,231569,4193.421846,3956.498248,4467.5236,4164.236916,3931.464054,4381.199955
2021-10-22 18:34:54+00:00,0,0,,,,,,,,2021-10-22 18:34:54+00:00,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,4,218645,93015.67433,93858.35217,1672.667857,1578.563713,1776.763222,1687.009857,1594.915889,1784.637264
