,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,2118,,,,,,,,,,,,,,,,,,,,,2021-10-21 18:30:00+00:00,,,SOOFIE,1,,-537.1,8.0,218645.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,5.141333333333349,4.158999999999976,4.11888888888889,4.082133333333331,3.9043833333333327,3.9043833333333327,31.9,34.733333333333334,36.0,36.78,37.443333333333335,36.934444444444445,2021-10-21 17:55:38+00:00,0.0,2005.0,8098.3,True,34.36666666666667,False,TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1672,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.8666344735564,1531.7827211176193,1737.236324256861,1638.1009916130258,1530.0784639340795,1748.512892910093,1635.2464629349513,1460.1096226476689,1812.5008569368536,1445.2716875109081,-9042.507388581082,12762.77844806049,911.8862596513529,-14769.034788799021,15892.386584708525,1378.095748456263,-16765.695672212394,18803.910497267767
2,1720,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.8513145780823,1532.8676109197943,1736.8602602858414,1640.1759326562262,1536.7556354763688,1750.0846624739077,1631.7100594856827,1456.0092660895311,1787.3381083352313,1131.9686632082253,-9957.786304988582,13585.187072950177,1605.490020024519,-16426.55216947922,18788.07864783823,1545.9375172754055,-17062.951700641253,18885.800802267142
3,1673,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4237.766169870124,4003.5436957887055,4475.124960412187,4219.234466096001,4006.530926186862,4487.066309324657,4237.2168922066685,4005.623993174432,4474.522671183135,4230.441610926902,4012.3166184487627,4448.783329414876,4231.969422685284,4003.171755339044,4461.128819915428,4211.795193647155,3995.252717392933,4446.122146134994
4,1721,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4236.804935595566,4007.345505696667,4471.69318632809,4222.206369051079,3994.1727414767565,4466.875739387275,4233.15880196229,4024.366764703649,4482.08051183972,4221.099199701827,3991.119796856973,4451.555534758056,4225.921074555689,4000.4596859087437,4480.621766797334,4206.2173782606815,3989.3649710519094,4447.886626557485
5,1674,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.2048581019158,186.0499791627884,208.18386956486265,196.71832696580182,185.42311580958633,208.1561324578085,196.86613589476113,185.96735321342277,207.92498973247191,197.25958650914464,186.29472693731054,208.67398951298065,198.2675980007326,186.5359039294186,210.26061034613167,147.45712778841852,139.4963032785563,155.8723935759723
6,1722,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.25200991912251,186.05832378484126,208.38584340965707,196.48331768694877,185.70187362726887,207.6006572337552,196.79472221254161,186.68663600033742,207.53259413439798,197.57207795413495,185.9865093371488,209.30458190005714,198.5978489930862,187.52244539007262,209.92488428183162,147.79082963120058,139.54861918023408,156.8004726236943
7,1675,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445.0,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,1,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.6484004701647,2197.9080008010164,2476.546826936082,2347.1353755684954,2206.1533794451607,2494.001351185348,2293.4672732695126,2069.105815689504,2550.9257864563083,1873.8648567886687,-14137.155619587349,17622.325883835303,1382.1368904857102,-21574.732018540722,28004.500856711882,1796.121747110411,-23496.309527507994,28746.86604168744
8,1698,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.0580449754952,2196.0957555231334,2473.155848730391,2347.6171871189017,2190.9691170761325,2510.1157629765294,2296.1246177816224,2067.7055410456283,2524.57606109594,1753.1244631952554,-13810.639079071838,16973.913753372657,1525.988000577366,-22136.570304408466,27316.19755828677,874.5971085271981,-21759.227007872534,27675.759129473867
9,1723,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445.0,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,2,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2337.6778808509334,2200.0123190101094,2474.44249809922,2341.8815054550328,2197.103087999116,2492.4156460482154,2300.0376224448637,2062.493846510489,2526.3923123455734,1434.4249935446642,-14031.701350641175,17082.37047540077,1390.0523337160573,-22213.465251889076,25881.48696459819,287.52895958333755,-24809.95903276653,29962.882447752767
10,1746,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191.0,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,2,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.281683061993,2196.15876574744,2476.836900264508,2349.0674640621114,2203.8289301893806,2509.498919823105,2297.7986146136645,2069.6160697778914,2538.33501797758,1759.6773615502736,-15056.76454773346,17471.82022394598,1657.3947226429968,-22306.730001294065,27605.727507570955,1624.6524730528554,-25109.750553295227,28879.825515130673
11,1676,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,,PRISMA/UPV,1,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4495.208866154324,4250.728131646206,4739.631599492431,4493.156943011321,4255.114229685484,4719.458717186692,4504.962536982189,4261.618409225948,4782.299870393699,4465.392402695062,4244.296139169501,4737.382703059084,4324.744684603396,4089.1788638490325,4551.239514267384,4271.254567634266,4052.5706944862814,4481.469933502096
12,1699,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,,PRISMA/Kayrros,1,,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4496.18261387905,4248.714037231115,4745.469507276582,4492.6868499341535,4251.475469379415,4775.008689947098,4509.266668055896,4254.681119638564,4773.266036020725,4469.725855339448,4244.000500908635,4707.525071158024,4319.671326651234,4087.7196116768046,4570.809909534948,4270.731270890708,4049.768175558395,4489.577393018691
