,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,2118,,,,,,,,,,,,,,,,,,,,,2021-10-21 18:30:00+00:00,,,SOOFIE,1,,,,,-537.1,8.0,218645.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,0.0,AZ,5.141333333333349,4.158999999999976,4.11888888888889,4.082133333333331,3.9043833333333327,3.9043833333333327,31.9,34.733333333333334,36.0,36.78,37.443333333333335,36.934444444444445,2021-10-21 17:55:38+00:00,0.0,2005.0,8098.3,True,34.36666666666667,False,TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1672,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.8595982032493,1531.9335529292437,1732.946961201556,1635.695454349552,1534.7221286887902,1751.8998366054134,1634.8722278453592,1460.010943918891,1795.7406293506801,943.5307021826663,-10218.409543193295,12383.338774306703,1161.404982068328,-13845.078842389335,18452.053359810892,474.08817833349605,-19069.82427040758,18475.93908877167
2,1720,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2/GHGSat,GHGSat C2,+/- 1 sigma,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.0893825159899,1530.0424146394616,1736.290480922244,1636.06082180303,1528.505364689049,1759.4404115483508,1623.9430038186936,1466.4764418338596,1787.962964272654,1792.3333391260999,-10444.429421455912,13630.79954900711,1040.0653781107405,-17328.437867016524,18422.88485816849,1207.2997121047833,-15866.06766634695,18307.20604822789
3,1673,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4238.297619452776,4006.910787615967,4478.322493374827,4236.542396771099,4013.309020071435,4487.886842064899,4225.841556793045,3999.8638461874752,4463.9765631105,4237.689006323707,4016.8024660398364,4492.752688796314,4225.76551440672,3994.225095615214,4467.578231418328,4204.351562630197,3964.0597013118995,4430.762961346683
4,1721,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2/GHGSat,GHGSat C2,+/- 1 sigma,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4236.621294714619,4004.719569461986,4476.887908056437,4230.378264082696,4004.3948785393322,4468.4437740420235,4230.206252663064,4008.683031131968,4460.352966027621,4225.376103824647,3993.0208485059,4466.344666194409,4235.690516400853,4014.9831052275545,4466.385454577612,4198.250523807589,3988.4038234308046,4437.230791358161
5,1674,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.14084767610987,186.00630666905622,208.55717241036803,196.8954567313247,185.99721762414663,208.3125931164434,197.30825903924648,185.6532424290837,207.50263478986204,197.03100747735425,186.78163242655665,208.0633456401882,198.31282457073826,186.65936090390693,209.38559267382612,147.29985824636077,139.57147488114654,156.22039019137114
6,1722,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2/GHGSat,GHGSat C2,+/- 1 sigma,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.16694984414553,185.69218454265987,208.28622872011914,197.5249603317922,188.05878253900568,208.85693290863998,196.79411606210107,186.37355234645742,208.42796806053195,197.31584687542627,186.79811512957673,209.93454935833768,198.90671235090767,188.24702225200056,210.3918833648079,147.55084987565954,139.136763173396,156.1460485194821
7,1675,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.2169897401022,2195.0198566314534,2474.2922593659746,2345.6072248278415,2197.4239499854198,2490.0642300597733,2305.241493024002,2078.8095863044637,2529.6367718497795,1640.345198168998,-14462.530375922766,17333.694564924375,786.414616127973,-21879.080747845794,25473.517471982967,826.2206488335396,-26638.355683976857,29169.116724234867
8,1698,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.9197768833305,2196.2718502075722,2478.7761914816897,2343.132537746278,2200.9536287747114,2505.597224766342,2306.6990175907977,2090.465042639971,2558.159398128968,1067.0501624695742,-14830.081228489385,17741.613511851465,1716.3662924798855,-21061.059165253846,24315.84805310596,1364.4839540294142,-26364.448739860025,27769.313888316414
9,1723,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,2,,PRISMA/UPV,PRISMA,UT 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.560917452094,2195.6729231133045,2474.9337096624786,2342.6955063494693,2180.940262243217,2491.7465002986883,2297.684977573113,2080.9903061767322,2551.817134269677,2382.7384940264346,-14078.293785022404,17797.202748321775,1944.8593525352728,-20598.82167571318,23730.2635217448,1746.7124370855834,-24936.05336449669,27952.08472996512
