,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,1672,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1634.0248468845793,1533.6917671578915,1733.8651912576804,1634.454909551938,1537.5879068962256,1732.521783038205,1624.7539017871532,1531.9981309370362,1725.261498767597,1667.7130082248916,1559.6614822186443,1787.9277793099805,1687.3172934731538,1549.6686058524156,1834.7872963666252,1667.3756316303154,1476.9341550400159,1860.6879390925565
1,1720,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2/GHGSat,GHGSat C2,+/- 1 sigma,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.6750698071303,1534.263864518585,1731.8466026153849,1635.3954714831332,1541.810232262601,1743.4902020156994,1627.4627049258622,1532.204928926205,1728.8515514042592,1668.9047515297857,1567.7835890926826,1783.8795199795727,1693.5661315425466,1551.5078893948823,1851.6523094293675,1661.7802259302641,1449.9949672176633,1867.6609592310897
2,1673,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4236.546761897773,4008.091112674042,4476.608867203044,4230.413032836413,4003.7929917010797,4476.5840505453925,4222.352431170541,4000.9495037956667,4432.6654161072365,4240.419761348073,4004.3701352806765,4485.913188546386,4236.529457018319,4000.858794514553,4489.848635330392,4200.767136317153,3972.2650220638934,4440.451193911631
3,1721,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2/GHGSat,GHGSat C2,+/- 1 sigma,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4238.468813320771,4009.2755924580983,4474.619042803551,4214.376507705677,3986.157864488613,4483.232162259328,4228.189950612764,4013.710029551311,4450.76886078181,4236.246604348258,4010.03407523676,4478.926304829236,4227.061459273949,3996.856920671594,4472.5758199138,4214.054725002715,3985.72416630187,4446.1176333893
4,1674,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.31758944521113,186.1033006422783,208.63900574025092,196.47948749044846,185.92691072609864,206.8691824310576,197.21785810171306,185.9254722780346,210.2835947011289,197.19329784580918,186.09339563394587,209.19375888336157,198.8793878299389,187.18670308165275,210.5415039081061,147.03579957475282,138.60797687665655,156.33329135653523
5,1722,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2/GHGSat,GHGSat C2,+/- 1 sigma,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.14765441501234,186.00644514261944,208.11092318379207,196.99380056887924,185.76613887049524,207.87242631820737,196.8190303996862,184.820468399427,208.82199399989076,197.1978991153724,185.346404065086,207.937923788082,198.51881704938327,187.28845761398463,210.3602474592285,147.42277480288374,138.35227859181424,156.66857015287047
6,1675,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2337.460892549274,2202.998183529341,2471.5533832062374,2352.5691332401175,2214.5807347140208,2489.890111750565,2295.608728511538,2172.094593702509,2421.820369758544,2347.4471177671135,2201.8811342656227,2501.499921478756,2406.776878507836,2227.6665851516864,2601.7088145886783,2526.2435916395884,2232.1196657815967,2839.1613579807527
7,1698,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.0359995649806,2202.0245592744095,2472.2629295821193,2346.893825742537,2218.3069630107098,2483.810470846605,2295.0192786404195,2175.380591693161,2424.303099017371,2356.5242628717783,2208.6833455062574,2521.942425575084,2408.200404047046,2206.4662805725225,2606.983535413766,2519.26266689739,2224.315944199444,2799.4556901660844
8,1723,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,2,,PRISMA/UPV,PRISMA,UT 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.9368037007316,2201.8522583871086,2473.588865469677,2350.0644577946227,2221.7545068941417,2493.2816175373373,2299.777369235263,2155.378404597045,2441.4200571432402,2346.2330327315813,2201.568137072055,2495.027596586914,2396.432893847638,2208.7511236859646,2604.6345016423165,2527.2362569755733,2244.596466655178,2784.6286854069813
9,1746,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191.0,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,2,,PRISMA/Kayrros,PRISMA,+/- 1 sigma,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.7131689584885,2201.0171257512848,2473.02015838873,2341.052269593631,2206.9203988877016,2473.3898133119264,2286.6347727371653,2171.981936313313,2421.9572705904147,2349.4447495816994,2207.555875863862,2504.436617393943,2412.957638379142,2224.431330200656,2619.4841674064255,2525.0913406164404,2233.5925868259305,2808.588799781315
10,1676,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,248685.0,8.0,218645.0,248685.0,False,,249130.8666666673,249464.31666666604,250304.6333333328,248276.68666666705,239922.84333333347,237138.22888888817,AZ,3.081333333333346,3.663999999999969,3.743777777777775,4.048066666666671,3.9371333333333305,3.9371333333333305,35.333333333333336,38.86666666666667,41.91111111111111,34.9,36.96,38.57555555555555,2021-10-21 17:55:38+00:00,0.0,2005.0,6527.635,True,27.566666666666666,True,TP,1.0,4493.201076638677,4246.421927977097,4742.634327293024,4486.973369066227,4259.827532799292,4733.1033215598145,4507.508333655899,4260.412050998135,4775.166846315908,4474.432584616576,4231.372162904479,4710.425355868818,4327.763258265646,4087.738518600153,4587.9687390542,4265.877223681577,4038.406926876909,4514.423788581271
