,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1627,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,1,,90419.82,8.0,218645.0,90419.82,True,,90591.936,90977.237,90404.87644444444,92336.07886666666,92646.23761666667,AZ,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1632.0524502553887,1523.3780146388895,1733.644787420077,1635.3399237154404,1532.8126131132672,1738.832115142589,1631.0892094241674,1534.3809917348392,1732.0937957395208,1669.9073082725183,1557.3451347784237,1784.0219933569138,1667.393717498047,1570.5981807273429,1765.8786530986165
1,1675,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,2,,90419.82,8.0,218645.0,90419.82,True,,90591.936,90977.237,90404.87644444444,92336.07886666666,92646.23761666667,AZ,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1631.45207812097,1536.5626112103544,1737.6023014341051,1634.962276307323,1534.8306044375888,1735.7990326217653,1630.3368236109422,1532.8438885046264,1735.5010048885376,1668.209841960859,1573.4629780925031,1774.0341508375402,1669.8627626815498,1560.7692105446745,1775.2555445316962
2,1628,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,1,,235496.0,8.0,218645.0,235496.0,False,,234785.0,234745.28333333333,234765.1,234940.85666666666,234874.51166666666,AZ,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4229.795522920286,4009.032713284646,4481.512186486357,4220.65017601651,4001.8954498088033,4458.180180090855,4228.532634749105,4004.328253184201,4437.015233830639,4230.042644044731,3990.4855807501604,4491.149856748729,4217.087328430322,3999.0138630847214,4469.1352734241345
3,1676,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,2,,235496.0,8.0,218645.0,235496.0,False,,234785.0,234745.28333333333,234765.1,234940.85666666666,234874.51166666666,AZ,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4235.1080226735185,4003.3794957325695,4465.5471608249345,4233.869554000829,4014.5581257522085,4487.728188646277,4230.4360395845815,4010.7426266460116,4483.565454874292,4227.288932324514,3993.080899510656,4457.9422124378225,4228.62352481691,4011.6454146157334,4500.364992562891
4,1629,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,1,,10878.2,2.0,218645.0,10878.2,False,,10928.99,10939.613333333333,10940.062222222223,10957.806333333334,11027.274333333333,AZ,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.09646036923107,186.54169160697185,208.57493092872758,197.23490411530298,185.55802586047952,209.02704052450846,196.52784107436088,186.49646949738752,208.4187317562196,197.60299568233592,187.40501269131943,208.63221827168908,198.55456949738885,187.347795131586,210.49099171370062
5,1677,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,2,,10878.2,2.0,218645.0,10878.2,False,,10928.99,10939.613333333333,10940.062222222223,10957.806333333334,11027.274333333333,AZ,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,196.79316646505455,186.00667900894564,207.7900607653892,196.7951847171679,186.07105995851805,208.2097653755361,197.0283352318401,186.35139698498284,209.34789015881606,197.26015376244655,186.8444409168699,208.30814470903002,198.3667722439542,186.88876661586767,210.26306509925348
6,1630,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445.0,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,1,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2334.8296952673822,2207.8948606092536,2473.9461049352917,2348.2348081794844,2218.1331439487876,2473.728479244991,2299.82081638202,2164.4998505468375,2440.6045967179116,2348.2547119177466,2195.987684523051,2490.2116338510255,2376.144927386867,2237.165866141805,2516.6078139312754
7,1653,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,1,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2326.707432738886,2191.611522650826,2464.031663915808,2342.559171748941,2206.0889766979076,2477.651679961564,2288.886524470538,2167.500098185172,2426.1408452328697,2354.7629935272266,2205.632836259116,2507.833888233986,2370.5894135754033,2227.3532270197034,2514.438502969153
8,1678,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445.0,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,2,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2334.7030867296007,2184.9179205759883,2475.953303839909,2350.2452203626885,2215.055035005044,2489.549704116354,2288.0596466646084,2173.588054731305,2430.489805551893,2349.422005745994,2208.13765542893,2488.615792928571,2374.0027512665797,2244.0136178686016,2511.739082491163
9,1701,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191.0,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,2,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.065629955096,2197.381101154813,2468.6525692626137,2341.2968254799043,2219.405668596815,2478.476069529001,2294.5605459458316,2153.517474951186,2429.9128096651093,2355.127526624043,2215.503483781348,2499.1924323705284,2372.038095363127,2232.358160728673,2518.051399089803
