,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1627,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,1,,90419.82,8.0,218645.0,90419.82,True,,90591.936,90977.237,90404.87644444444,92336.07886666666,92646.23761666667,AZ,4.329133333333333,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.4573074120617,1533.5664789839943,1733.2654555438046,1639.8850561381184,1539.4222681316485,1742.741138301256,1631.0869185619765,1529.5093870059152,1731.3938914649084,1672.3184679153171,1565.5909094660487,1778.3211444361307,1672.0780635308993,1569.6547581678658,1774.6172282425462
1,1675,,1,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,2,,90419.82,8.0,218645.0,90419.82,True,,90591.936,90977.237,90404.87644444444,92336.07886666666,92646.23761666667,AZ,4.329133333333333,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1632.8728240310145,1533.0725816960314,1733.1550752540556,1639.3001984162147,1538.008869670016,1740.9114067521357,1631.496274265113,1531.4967492549677,1731.1071452306876,1672.6908693563644,1563.5436062274332,1780.2831030996567,1671.4579066024187,1569.2125220881917,1773.5825036250776
2,1628,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,1,,235496.0,8.0,218645.0,235496.0,False,,234785.0,234745.28333333333,234765.1,234940.85666666666,234874.51166666666,AZ,2.6411000000000002,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4235.43344450441,4006.8778760767423,4474.3913928705115,4233.772314383941,4003.6844150752404,4475.407830037253,4235.798811898248,4001.9666694392363,4473.155591945476,4238.163866218375,4004.067391550052,4478.045454429947,4239.3720750755865,4006.9072074753985,4480.942399345424
3,1676,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,2,,235496.0,8.0,218645.0,235496.0,False,,234785.0,234745.28333333333,234765.1,234940.85666666666,234874.51166666666,AZ,2.6411000000000002,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4237.836726136908,4005.7865383774392,4477.803396818265,4234.833698449444,4004.6043526977596,4471.586826685982,4236.798867393379,4004.1946680511737,4476.879540889154,4239.209312535058,4006.0173498090953,4483.986539445509,4237.820242338602,4002.582212081708,4479.875984331972
4,1629,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,1,,10878.2,2.0,218645.0,10878.2,False,,10928.99,10939.613333333333,10940.062222222223,10957.806333333334,11027.274333333333,AZ,4.816333333333333,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.23533201718072,185.81429363236612,208.44235709916595,197.41260861416262,186.54124802313783,208.37374877792928,197.40365412829593,186.0315736965978,208.75841599652333,197.83959618216784,186.63112359399946,209.15147081346183,199.02656782811218,187.53887642559206,210.24454779296175
5,1677,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,2,,10878.2,2.0,218645.0,10878.2,False,,10928.99,10939.613333333333,10940.062222222223,10957.806333333334,11027.274333333333,AZ,4.816333333333333,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.25767543234886,185.8622827071143,208.45131731780705,197.30139896269202,186.32092703144883,208.71401579651203,197.51367582473392,186.4062515761401,208.75750533272637,197.71578933089447,186.5729664351325,208.91062400296457,198.9539702824257,187.64720257655264,210.3954176748955
6,1630,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445.0,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,1,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,7.064633333333333,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2337.1989202949435,2199.832115137998,2473.286440370503,2348.6232040721866,2212.2580498198085,2487.477614353066,2298.6294432202994,2163.052481920617,2435.3236200607084,2356.804988786775,2209.850053463813,2503.583579545826,2375.9435591059705,2237.0160107284787,2515.2514655700484
7,1653,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,1,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,7.064633333333333,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.2625222413717,2201.9877126378865,2473.2630902280084,2349.177773846127,2213.8707879243443,2485.0552778529795,2297.0197321615565,2164.9298479386803,2430.0285664125367,2355.3000816905387,2210.4593096726603,2504.875574000116,2376.1709348096674,2237.9360956613928,2516.965317885178
8,1678,,4,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445.0,3778,,,1614,6.943938356,,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,2,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,7.064633333333333,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.2755071957595,2199.123853512112,2472.04223620039,2349.73044890095,2212.7408051360608,2485.8630587461307,2297.4825329895393,2164.2734176236568,2430.168356828475,2356.679873806765,2209.687701055573,2502.059174121558,2375.3304621724405,2237.3021731582944,2514.282532341009
9,1701,,27,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,6.18,15.1,191.0,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,2,,129412.8,8.0,218645.0,129412.8,True,,129561.17,130340.99833333334,127318.71066666665,130047.82086666666,131662.46193333334,AZ,7.064633333333333,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2335.670284693996,2201.565459907011,2467.7740432677306,2349.64806814539,2217.0137603603634,2488.6377845687502,2297.514757518323,2163.608556031033,2431.6497235091774,2354.7066662169696,2210.190051954899,2498.5887531317376,2375.342484817661,2237.3667029065523,2515.954994594622
