,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,1672,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,89141.35174,AZ,4.886,4.8775,4.998444444,4.329133333,4.6682,4.6682,22.3,27.91666667,29.87777778,30.71,31.15,32.54222222,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1634.366491,1535.992484,1733.920379,1638.579207,1544.075795,1739.793307,1627.149,1530.555542,1735.672531,1668.552701,1567.067111,1776.798886,1690.581768,1547.515528,1848.970501,1675.972968,1477.638781,1869.9777
1,1724,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,89141.35174,AZ,4.886,4.8775,4.998444444,4.329133333,4.6682,4.6682,22.3,27.91666667,29.87777778,30.71,31.15,32.54222222,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1634.18406,1534.140848,1736.79123,1641.133487,1540.816526,1748.344185,1627.666578,1529.144164,1732.819673,1671.412933,1561.726679,1787.657761,1695.772354,1556.413995,1844.447914,1668.66777,1492.716173,1849.911637
2,1673,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,233651.32,AZ,1.713333333,2.011666667,2.247222222,2.6411,2.807,2.807,255.6666667,264.1333333,268.2,277.87,278.985,287.3433333,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4237.735101,4005.727215,4480.503939,4215.709154,3988.303291,4449.080305,4224.462781,4000.651009,4473.345507,4229.48963,3989.719554,4465.662198,4231.301802,4016.239615,4473.510367,4210.105869,3981.091922,4452.470683
3,1725,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,233651.32,AZ,1.713333333,2.011666667,2.247222222,2.6411,2.807,2.807,255.6666667,264.1333333,268.2,277.87,278.985,287.3433333,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4237.80351,4006.366387,4475.133807,4228.952934,3998.948562,4476.194313,4224.04616,3998.35566,4473.207774,4239.733502,4025.890203,4492.354717,4225.972781,4007.053856,4451.602547,4215.067836,3986.529477,4453.630487
4,1674,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,8191.102489,AZ,5.641666667,5.3595,5.311111111,4.816333333,4.81705,4.81705,202.8666667,201.1166667,199.9222222,203.37,212.0866667,213.3744444,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.2179329,185.9673171,208.1662504,196.9894221,186.4591583,208.4896675,196.9355789,186.09553,208.0228474,196.9156589,185.5866514,208.5884904,199.0855351,187.4454571,210.3743252,147.6534287,138.4796582,156.1160098
5,1726,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,8191.102489,AZ,5.641666667,5.3595,5.311111111,4.816333333,4.81705,4.81705,202.8666667,201.1166667,199.9222222,203.37,212.0866667,213.3744444,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.19039,185.8494329,208.4256061,197.2249004,186.4304378,209.295682,196.8610989,185.8628068,208.0838667,197.1815652,186.1268441,208.8887252,198.7422025,186.6352896,209.4658695,147.6168034,139.7215575,156.1626298
6,1676,,,1,1,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,,,,6390.1,2,218645,6390.1,FALSE,,6371.826667,6375.115,6374.798889,6360.216,6341.75,6109.344667,AZ,3.702333333,3.573,3.401666667,2.9348,2.770516667,2.770516667,28.56666667,32.01666667,33.13333333,43.08,38.86,36.33333333,2021-11-03 17:07:48+00:00,0,2015,2907.63,TRUE,14.2,TRUE,TP,1,114.9668552,108.0462363,121.8209316,114.6203592,108.3572365,121.7221148,115.0642908,107.6593079,122.2593581,114.5549888,107.9458953,121.6092991,114.3302165,107.1870463,122.5640878,109.9392922,103.3760051,116.6121937
7,1728,,,1,1,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,,,,6390.1,2,218645,6390.1,FALSE,,6371.826667,6375.115,6374.798889,6360.216,6341.75,6109.344667,AZ,3.702333333,3.573,3.401666667,2.9348,2.770516667,2.770516667,28.56666667,32.01666667,33.13333333,43.08,38.86,36.33333333,2021-11-03 17:07:48+00:00,0,2015,2907.63,TRUE,14.2,TRUE,TP,1,115.0085607,108.0015185,121.8848032,114.6696655,108.1068052,121.9465912,115.0677582,108.2278615,121.6857092,114.5867662,107.8177076,121.645777,114.4979289,107.5914136,121.3136852,109.9376337,103.3617529,117.0614918
8,1677,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/LARS,1,,PRISMA,LARS,UT 1 sigma,,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,134751.2221,AZ,8.348,7.8375,7.839888889,7.064633333,6.918116667,6.918116667,19.36666667,22.71666667,23.18888889,27.84,47.34666667,40.79555556,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.173336,2202.259514,2470.648321,2340.730119,2214.471756,2501.873179,2291.845602,2161.92401,2423.898593,2357.153593,2215.867538,2500.044364,2411.802582,2227.34396,2611.763206,2520.929318,2238.605271,2834.481452
9,1701,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,134751.2221,AZ,8.348,7.8375,7.839888889,7.064633333,6.918116667,6.918116667,19.36666667,22.71666667,23.18888889,27.84,47.34666667,40.79555556,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.117409,2200.956906,2472.776478,2348.055098,2210.136513,2493.09696,2292.181722,2158.186882,2436.83867,2347.224016,2195.834994,2499.815584,2395.368345,2208.780419,2589.734138,2531.70038,2263.38323,2825.884265
