,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,1672,,1.0,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,0.6863677510308666,0.6294701161442502,0.6053950536932019,0.9103576691837606,0.9893297641857542,0.9893297641857542,9.370349421225505,10.294463983159481,9.25521751154521,34.32559864602549,25.126740506496244,28.295308209867304,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1634.1563355569228,1533.7633035775714,1734.2633843703554,1637.7489502527642,1542.0919383317023,1745.418706761035,1626.9815395816602,1527.3348580600914,1731.4014862385216,1672.4813300856356,1570.4548782150125,1781.0362405848496,1694.3902035802944,1547.6001689713876,1841.312900800695,1662.5847348674376,1482.0848976663763,1857.1966227887833
1,1724,,1.0,1.0,1.0,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8.0,218645.0,90419.82,True,,90591.93600000009,90977.23700000012,90404.87644444474,92336.07886666693,92646.23761666648,89141.35174444423,AZ,4.885999999999996,4.877499999999997,4.998444444444443,4.329133333333339,4.668199999999999,4.668199999999999,22.3,27.916666666666668,29.877777777777776,30.71,31.15,32.54222222222222,0.6863677510308666,0.6294701161442502,0.6053950536932019,0.9103576691837606,0.9893297641857542,0.9893297641857542,9.370349421225505,10.294463983159481,9.25521751154521,34.32559864602549,25.126740506496244,28.295308209867304,2021-10-16 17:10:03+00:00,0.0,2001.0,4474.545,True,16.616666666666667,True,TP,1.0,1633.3022181933231,1535.450982845305,1734.3433408044432,1638.446476412394,1540.3016995530256,1741.8415583459882,1632.4764940736084,1536.83281805957,1730.3157978218171,1670.8000343328133,1564.7200565301355,1778.0669292181929,1695.0407930733186,1541.5433639284233,1845.914245414484,1668.4755202381225,1470.9867507251013,1871.8822017934917
2,1673,,2.0,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,0.3285635752613211,0.4048568136366536,0.4889912289320994,0.4903194542582208,0.4416625140238009,0.4416625140238009,8.29762464280231,10.825999255819365,11.026220027266993,12.357540045926747,12.89749396527264,16.50701505913076,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4238.466793300078,4008.058832049657,4470.555083704558,4224.242903530281,3991.107840066164,4436.8676911863895,4223.653552937483,4001.137894479866,4442.981347365536,4238.550262220021,3990.2695482681584,4488.284634494268,4222.969808576245,4000.4520667435763,4469.616365984835,4212.23347007137,3999.8286390096123,4457.377126490181
3,1725,,2.0,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496.0,8.0,218645.0,235496.0,False,,234784.99999999974,234745.28333333356,234765.10000000012,234940.85666667004,234874.51166666354,233651.3199999976,AZ,1.7133333333333394,2.0116666666666685,2.2472222222222404,2.6410999999999962,2.8069999999999897,2.8069999999999897,255.66666666666666,264.1333333333333,268.2,277.87,278.985,287.3433333333333,0.3285635752613211,0.4048568136366536,0.4889912289320994,0.4903194542582208,0.4416625140238009,0.4416625140238009,8.29762464280231,10.825999255819365,11.026220027266993,12.357540045926747,12.89749396527264,16.50701505913076,2021-10-24 17:19:20+00:00,0.0,2008.0,2621.325,True,15.983333333333336,True,TP,1.0,4236.1849397270735,4006.8394191448556,4472.930454706247,4223.44536417938,4010.2562527042996,4467.353707387807,4229.919482740765,4027.610842685344,4454.744558633858,4231.073836794527,4035.3531672741587,4492.924568635297,4217.590956780469,3993.4532836821427,4457.95380618349,4211.772535436742,3980.473604214323,4460.59133155381
4,1674,,3.0,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,0.6080499261111009,0.5724210403694332,0.5844587324931606,0.7721878890586898,0.8260793804095933,0.8260793804095933,4.174911383189842,4.2390103844559714,4.724375656456533,12.60778678537273,15.583663663513965,13.882905046404943,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.184085763748,186.05964934705563,208.3002680626252,196.95306519166368,185.88745361726893,208.23868122337905,197.41443824351816,188.17858608954168,210.04621025418191,197.02505473747675,186.55580597602295,207.8926265906668,198.51189418496028,187.93649916562836,210.0605729924047,147.65120318831498,139.14874242710707,155.80416388908287
5,1726,,3.0,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2.0,218645.0,10878.2,False,,10928.989999999676,10939.613333333631,10940.062222222332,10957.806333336433,11027.274333329926,8191.102488886652,AZ,5.6416666666666675,5.3594999999999935,5.311111111111104,4.816333333333324,4.817050000000005,4.817050000000005,202.86666666666667,201.11666666666667,199.92222222222222,203.37,212.08666666666667,213.37444444444444,0.6080499261111009,0.5724210403694332,0.5844587324931606,0.7721878890586898,0.8260793804095933,0.8260793804095933,4.174911383189842,4.2390103844559714,4.724375656456533,12.60778678537273,15.583663663513965,13.882905046404943,2021-10-25 17:13:41+00:00,0.0,2010.0,3190.58,True,10.933333333333334,True,TP,1.0,197.1988154944993,186.05525600969122,208.68691746313561,196.50081010359114,185.77496355506133,208.2497621525662,197.02992901164126,186.13644635034444,208.53812702692386,197.500736217916,186.76827033056452,209.09528409114108,198.81817591706826,187.7368745082937,210.6057496280821,147.31338064010603,138.91389825331788,156.462285257426
6,1676,,,1.0,1.0,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,,,,6390.1,2.0,218645.0,6390.1,False,,6371.826666666666,6375.1150000000025,6374.798888888897,6360.215999999995,6341.749999999992,6109.344666666654,AZ,3.702333333333331,3.573,3.4016666666666646,2.9348000000000076,2.7705166666666647,2.7705166666666647,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.36058078948708583,0.36728181578099844,0.6193876098502165,0.5916246211135009,0.5960108622909824,0.5960108622909824,5.430966976409604,5.658327196854911,6.928527576767263,10.648233794538125,17.436181751081918,18.928822829328713,2021-11-03 17:07:48+00:00,0.0,2015.0,2907.629999999999,True,14.2,True,TP,1.0,114.95570390941903,107.99456425330095,121.75766941544283,114.76272913144575,107.9887240133059,121.90822884919407,115.17046915615484,107.57084068696398,122.65788656282047,114.53355051744278,108.30381873821815,121.37086463618873,114.04508010468446,107.6844915687742,121.62803087905732,110.04078394289003,103.7287756648191,117.33541467238513
7,1728,,,1.0,1.0,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,,,,6390.1,2.0,218645.0,6390.1,False,,6371.826666666666,6375.1150000000025,6374.798888888897,6360.215999999995,6341.749999999992,6109.344666666654,AZ,3.702333333333331,3.573,3.4016666666666646,2.9348000000000076,2.7705166666666647,2.7705166666666647,28.566666666666666,32.016666666666666,33.13333333333333,43.08,38.86,36.333333333333336,0.36058078948708583,0.36728181578099844,0.6193876098502165,0.5916246211135009,0.5960108622909824,0.5960108622909824,5.430966976409604,5.658327196854911,6.928527576767263,10.648233794538125,17.436181751081918,18.928822829328713,2021-11-03 17:07:48+00:00,0.0,2015.0,2907.629999999999,True,14.2,True,TP,1.0,114.98615663729571,108.02900137346188,121.89523694572542,114.79003078883045,108.42661937095146,121.74691699419054,114.98096543268393,108.35360294033413,122.16141118463983,114.40852143512527,108.11371810796307,122.00997990158137,114.5063845156551,107.18515698066773,121.36954060150775,110.01865069310736,103.67322347649323,116.93676857299823
8,1677,,4.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,,PRISMA/UPV,1,,PRISMA,UPV,UT 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,0.3893265626871802,0.8675537886904563,0.8255437356226117,1.1828406085520211,1.0759329312321235,1.0759329312321235,4.0724755949243585,5.323728993428859,4.644422641497256,48.07652484115947,100.98719644240906,88.7522854190204,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.1251702782106,2202.2052588528645,2472.246284503459,2342.3919831694843,2218.515377278182,2480.2767228935863,2296.569970090012,2164.2763215560853,2433.887999713307,2356.5351725859214,2193.1547870304494,2515.052438325917,2412.802898713666,2213.0787971344052,2622.6743447936915,2527.8991213438103,2192.6744735906004,2831.226003826278
9,1701,,27.0,1.0,1.0,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,3.8,359,191,,,2021-10-16 18:36:26+00:00,,,PRISMA/Kayrros,1,,PRISMA,Kayrros,+/- 1 sigma,,,129412.8,8.0,218645.0,129412.8,True,,129561.17000000029,130340.99833333351,127318.71066666699,130047.82086666867,131662.461933333,134751.22206666676,AZ,8.34799999999999,7.837500000000002,7.83988888888892,7.064633333333324,6.918116666666666,6.918116666666666,19.366666666666667,22.716666666666665,23.18888888888889,27.84,47.346666666666664,40.79555555555555,0.3893265626871802,0.8675537886904563,0.8255437356226117,1.1828406085520211,1.0759329312321235,1.0759329312321235,4.0724755949243585,5.323728993428859,4.644422641497256,48.07652484115947,100.98719644240906,88.7522854190204,2021-10-16 18:11:14+00:00,0.0,2002.0,9804.84,True,25.2,True,TP,1.0,2336.545829087496,2200.514586627576,2471.1202692008137,2345.7490888397087,2203.147933802624,2492.1834725322456,2292.5548965286775,2162.89126601558,2429.3141165150623,2356.585897775435,2212.958567176819,2507.3435896819574,2406.788347698769,2201.7822994187363,2603.794110784167,2514.304695253807,2225.048352615767,2827.7140000360037
