,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Satellite,Team,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1627,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,+/- 1 sigma,3.72,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,AZ,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1632.05245,1523.378015,1733.644787,1635.339924,1532.812613,1738.832115,1631.089209,1534.380992,1732.093796,1669.907308,1557.345135,1784.021993,1667.393717,1570.598181,1765.878653
1,1675,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,+/- 1 sigma,4.27,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,AZ,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1631.452078,1536.562611,1737.602301,1634.962276,1534.830604,1735.799033,1630.336824,1532.843889,1735.501005,1668.209842,1573.462978,1774.034151,1669.862763,1560.769211,1775.255545
2,1628,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,+/- 1 sigma,2.01,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,AZ,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4229.795523,4009.032713,4481.512186,4220.650176,4001.89545,4458.18018,4228.532635,4004.328253,4437.015234,4230.042644,3990.485581,4491.149857,4217.087328,3999.013863,4469.135273
3,1676,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,+/- 1 sigma,2.49,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,AZ,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4235.108023,4003.379496,4465.547161,4233.869554,4014.558126,4487.728189,4230.43604,4010.742627,4483.565455,4227.288932,3993.0809,4457.942212,4228.623525,4011.645415,4500.364993
4,1629,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,+/- 1 sigma,5.06,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,AZ,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.0964604,186.5416916,208.5749309,197.2349041,185.5580259,209.0270405,196.5278411,186.4964695,208.4187318,197.6029957,187.4050127,208.6322183,198.5545695,187.3477951,210.4909917
5,1677,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,+/- 1 sigma,5.93,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,AZ,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,196.7931665,186.006679,207.7900608,196.7951847,186.07106,208.2097654,197.0283352,186.351397,209.3478902,197.2601538,186.8444409,208.3081447,198.3667722,186.8887666,210.2630651
6,1630,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,UT 1 sigma,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,PRISMA,UPV,1,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2334.829695,2207.894861,2473.946105,2348.234808,2218.133144,2473.728479,2299.820816,2164.499851,2440.604597,2348.254712,2195.987685,2490.211634,2376.144927,2237.165866,2516.607814
7,1653,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,+/- 1 sigma,3.8,359,191,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2326.707433,2191.611523,2464.031664,2342.559172,2206.088977,2477.65168,2288.886524,2167.500098,2426.140845,2354.762994,2205.632836,2507.833888,2370.589414,2227.353227,2514.438503
8,1678,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,UT 1 sigma,6.943938356,,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,PRISMA,UPV,2,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2334.703087,2184.917921,2475.953304,2350.24522,2215.055035,2489.549704,2288.059647,2173.588055,2430.489806,2349.422006,2208.137655,2488.615793,2374.002751,2244.013618,2511.739082
9,1701,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,+/- 1 sigma,6.18,15.1,191,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2335.06563,2197.381101,2468.652569,2341.296825,2219.405669,2478.47607,2294.560546,2153.517475,2429.91281,2355.127527,2215.503484,2499.192432,2372.038095,2232.358161,2518.051399
