,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Satellite,Team,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1627,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,+/- 1 sigma,3.72,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,AZ,4.329133333,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1633.457307,1533.566479,1733.265456,1639.885056,1539.422268,1742.741138,1631.086919,1529.509387,1731.393891,1672.318468,1565.590909,1778.321144,1672.078064,1569.654758,1774.617228
1,1675,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,+/- 1 sigma,4.27,,,,,2021-10-16 17:26:40+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,AZ,4.329133333,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1632.872824,1533.072582,1733.155075,1639.300198,1538.00887,1740.911407,1631.496274,1531.496749,1731.107145,1672.690869,1563.543606,1780.283103,1671.457907,1569.212522,1773.582504
2,1628,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,+/- 1 sigma,2.01,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,AZ,2.6411,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4235.433445,4006.877876,4474.391393,4233.772314,4003.684415,4475.40783,4235.798812,4001.966669,4473.155592,4238.163866,4004.067392,4478.045454,4239.372075,4006.907207,4480.942399
3,1676,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,+/- 1 sigma,2.49,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,AZ,2.6411,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4237.836726,4005.786538,4477.803397,4234.833698,4004.604353,4471.586827,4236.798867,4004.194668,4476.879541,4239.209313,4006.01735,4483.986539,4237.820242,4002.582212,4479.875984
4,1629,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,+/- 1 sigma,5.06,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,AZ,4.816333333,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.235332,185.8142936,208.4423571,197.4126086,186.541248,208.3737488,197.4036541,186.0315737,208.758416,197.8395962,186.6311236,209.1514708,199.0265678,187.5388764,210.2445478
5,1677,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,+/- 1 sigma,5.93,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,AZ,4.816333333,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.2576754,185.8622827,208.4513173,197.301399,186.320927,208.7140158,197.5136758,186.4062516,208.7575053,197.7157893,186.5729664,208.910624,198.9539703,187.6472026,210.3954177
6,1630,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,2494,,,966,UT 1 sigma,4.144341036,194.6463,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,PRISMA,UPV,1,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,7.064633333,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2337.19892,2199.832115,2473.28644,2348.623204,2212.25805,2487.477614,2298.629443,2163.052482,2435.32362,2356.804989,2209.850053,2503.58358,2375.943559,2237.016011,2515.251466
7,1653,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,2297,3149,1445,1-sigma confidence interval,+/- 1 sigma,3.8,359,191,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,7.064633333,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.262522,2201.987713,2473.26309,2349.177774,2213.870788,2485.055278,2297.019732,2164.929848,2430.028566,2355.300082,2210.45931,2504.875574,2376.170935,2237.936096,2516.965318
8,1678,,4,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,445,3778,,,1614,UT 1 sigma,6.943938356,,,,,2021-10-16 18:36:26+00:00,,PRISMA/UPV,PRISMA,UPV,2,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,7.064633333,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2336.275507,2199.123854,2472.042236,2349.730449,2212.740805,2485.863059,2297.482533,2164.273418,2430.168357,2356.679874,2209.687701,2502.059174,2375.330462,2237.302173,2514.282532
9,1701,,27,1,1,,2021-10-16 18:36:26+00:00,,,,Methane,703,3379,4328,2430,1-sigma confidence interval,+/- 1 sigma,6.18,15.1,191,,,2021-10-16 18:36:26+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,129412.8,8,218645,129412.8,TRUE,,129561.17,130340.9983,127318.7107,130047.8209,131662.4619,AZ,7.064633333,2021-10-16 18:11:14+00:00,0,2002,9804.84,TRUE,25.2,TRUE,TP,1,2335.670285,2201.56546,2467.774043,2349.648068,2217.01376,2488.637785,2297.514758,2163.608556,2431.649724,2354.706666,2210.190052,2498.588753,2375.342485,2237.366703,2515.954995
10,1631,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,UT 1 sigma,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,PRISMA,UPV,1,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,4.048066667,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4494.350991,4251.075236,4749.707011,4501.65996,4255.036761,4754.718302,4515.393217,4268.447012,4765.626083,4479.401972,4235.527942,4730.204012,4329.808127,4092.258147,4575.264041
11,1654,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,+/- 1 sigma,2.2,6,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,4.048066667,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4493.208747,4246.020918,4742.148952,4499.683785,4251.735782,4755.848518,4515.449363,4267.396099,4765.47307,4479.548353,4235.062494,4729.641471,4331.546549,4095.869553,4577.798304
12,1679,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,UT 1 sigma,3.935766667,,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,PRISMA,UPV,2,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,4.048066667,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4495.992011,4247.309616,4744.453528,4506.056219,4260.269759,4759.000966,4517.40884,4265.257092,4768.597845,4477.612163,4233.433723,4733.164511,4327.42146,4093.470158,4569.754524
13,1702,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,+/- 1 sigma,3.89,42.9,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,4.048066667,2021-10-21 17:55:38+00:00,0,2005,6527.635,TRUE,27.56666667,TRUE,TP,1,4496.552881,4253.251549,4747.367968,4501.178379,4250.176624,4758.28078,4515.593606,4269.633927,4772.064465,4479.004094,4235.454496,4730.491314,4328.408508,4092.470407,4567.376673
14,1632,,6,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,UT 1 sigma,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,PRISMA,UPV,1,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,4.088533333,2021-10-27 18:13:45+00:00,0,2011,2812.01,TRUE,12.75,TRUE,TP,1,3391.693113,3200.889528,3582.347042,3397.919113,3207.644695,3587.296095,3409.447875,3216.388221,3600.665247,3443.551149,3250.964926,3638.111285,3475.834382,3282.410746,3669.986026
