Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,OperatorSet,Satellite,Team,UnblindingStage,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-16 17:26:40+00:00,,1382,1920.98,843.02,39%,+/- 1 sigma,3.72,,,2021-10-16 17:26:40+00:00,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,8,218645,92336.07887,92646.23762,1669.907308,1557.345135,1784.021993,1667.393717,1570.598181,1765.878653
2021-10-16 17:26:40+00:00,,1534,1886,1181,23%,+/- 1 sigma,4.27,,,2021-10-16 17:26:40+00:00,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,8,218645,92336.07887,92646.23762,1668.209842,1573.462978,1774.034151,1669.862763,1560.769211,1775.255545
2021-10-24 17:35:19+00:00,,3848,5772,1924,50%,+/- 1 sigma,2.01,,,2021-10-24 17:35:19+00:00,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,8,218645,234940.8567,234874.5117,4230.042644,3990.485581,4491.149857,4217.087328,3999.013863,4469.135273
2021-10-24 17:35:19+00:00,,4408,5378,3438,22%,+/- 1 sigma,2.49,,,2021-10-24 17:35:19+00:00,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,8,218645,234940.8567,234874.5117,4227.288932,3993.0809,4457.942212,4228.623525,4011.645415,4500.364993
2021-10-25 17:24:37+00:00,,223,305.51,140.49,37%,+/- 1 sigma,5.06,,,2021-10-25 17:24:37+00:00,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,2,218645,10957.80633,11027.27433,197.6029957,187.4050127,208.6322183,198.5545695,187.3477951,210.4909917
2021-10-25 17:24:37+00:00,,253,317,189,25%,+/- 1 sigma,5.93,,,2021-10-25 17:24:37+00:00,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,2,218645,10957.80633,11027.27433,197.2601538,186.8444409,208.3081447,198.3667722,186.8887666,210.2630651
2021-10-16 18:36:26+00:00,445,2494,,,966,UT 1 sigma,4.144341036,194.6463,,2021-10-16 18:36:26+00:00,PRISMA/UPV,PRISMA,UPV,1,8,218645,130047.8209,131662.4619,2348.254712,2195.987685,2490.211634,2376.144927,2237.165866,2516.607814
2021-10-16 18:36:26+00:00,703,2297,3149,1445,1-sigma confidence interval,+/- 1 sigma,3.8,359,191,2021-10-16 18:36:26+00:00,PRISMA/Kayrros,PRISMA,Kayrros,1,8,218645,130047.8209,131662.4619,2354.762994,2205.632836,2507.833888,2370.589414,2227.353227,2514.438503
2021-10-16 18:36:26+00:00,445,3778,,,1614,UT 1 sigma,6.943938356,,,2021-10-16 18:36:26+00:00,PRISMA/UPV,PRISMA,UPV,2,8,218645,130047.8209,131662.4619,2349.422006,2208.137655,2488.615793,2374.002751,2244.013618,2511.739082
2021-10-16 18:36:26+00:00,703,3379,4328,2430,1-sigma confidence interval,+/- 1 sigma,6.18,15.1,191,2021-10-16 18:36:26+00:00,PRISMA/Kayrros,PRISMA,Kayrros,2,8,218645,130047.8209,131662.4619,2355.127527,2215.503484,2499.192432,2372.038095,2232.358161,2518.051399
2021-10-21 18:23:12+00:00,1004.9,4985,,,1691,UT 1 sigma,2.736019525,169.1555,,2021-10-21 18:23:12+00:00,PRISMA/UPV,PRISMA,UPV,1,8,218645,248276.6867,239922.8433,4477.520281,4235.616967,4737.121834,4310.818691,4078.049292,4552.724046
2021-10-21 18:23:12+00:00,1228,3561,4401,2721,1-sigma confidence interval,+/- 1 sigma,2.2,6,191,2021-10-21 18:23:12+00:00,PRISMA/Kayrros,PRISMA,Kayrros,1,8,218645,248276.6867,239922.8433,4472.503094,4231.395494,4716.542546,4316.960164,4092.888048,4545.999557
2021-10-21 18:23:12+00:00,1004.9,6469,,,2434,UT 1 sigma,3.935766667,,,2021-10-21 18:23:12+00:00,PRISMA/UPV,PRISMA,UPV,2,8,218645,248276.6867,239922.8433,4465.780055,4241.688457,4713.097916,4327.292663,4091.736767,4578.616653
2021-10-21 18:23:12+00:00,1228,4781,5727,3835,1-sigma confidence interval,+/- 1 sigma,3.89,42.9,191,2021-10-21 18:23:12+00:00,PRISMA/Kayrros,PRISMA,Kayrros,2,8,218645,248276.6867,239922.8433,4476.377336,4233.056563,4737.667879,4323.598851,4077.777118,4586.91184
