Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,Satellite,Team,UnblindingStage,cr_quad_scfh,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-16 17:26:40+00:00,,1382,1920.98,843.02,39%,3.72,,,2021-10-16 17:26:40+00:00,GHGSat C2,GHGSat,1,90419.82,8,218645,92336,92646,1670,1557,1784,1667,1571,1766
2021-10-16 17:26:40+00:00,,1534,1886,1181,23%,4.27,,,2021-10-16 17:26:40+00:00,GHGSat C2,GHGSat,2,90419.82,8,218645,92336,92646,1668,1573,1774,1670,1561,1775
2021-10-24 17:35:19+00:00,,3848,5772,1924,50%,2.01,,,2021-10-24 17:35:19+00:00,GHGSat C2,GHGSat,1,235496,8,218645,234941,234875,4230,3990,4491,4217,3999,4469
2021-10-24 17:35:19+00:00,,4408,5378,3438,22%,2.49,,,2021-10-24 17:35:19+00:00,GHGSat C2,GHGSat,2,235496,8,218645,234941,234875,4227,3993,4458,4229,4012,4500
2021-10-25 17:24:37+00:00,,223,305.51,140.49,37%,5.06,,,2021-10-25 17:24:37+00:00,GHGSat C2,GHGSat,1,10878.2,2,218645,10958,11027,198,187,209,199,187,210
2021-10-25 17:24:37+00:00,,253,317,189,25%,5.93,,,2021-10-25 17:24:37+00:00,GHGSat C2,GHGSat,2,10878.2,2,218645,10958,11027,197,187,208,198,187,210
2021-10-27 18:26:30+00:00,1020.9,5645,,,2098,3.744716667,,,2021-10-27 18:26:30+00:00,Sentinel-2,Harvard,2,188145,8,218645,190817,192626,3443,3252,3642,3470,3279,3689
2021-10-19 18:24:58+00:00,188,4069,6322,1816,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,2021-10-19 18:24:58+00:00,Sentinel-2,Harvard,1,409664.08,8,218645,398438,382613,7172,6799,7573,6880,6520,7229
2021-10-19 18:24:58+00:00,,5684,7053,4315,+/- 1 sigma,1.545715,,,2021-10-19 18:24:58+00:00,Sentinel-2,Harvard,2,409664.08,8,218645,398438,382613,7172,6799,7614,6892,6538,7290
2021-10-22 18:34:54+00:00,148,2102,3056,1148,+/- 1 sigma,1.764591,269.780224,UnknownSentinel2Direction,2021-10-22 18:34:54+00:00,Sentinel-2,Harvard,1,92870.1,4,218645,93016,93858,1677,1595,1771,1688,1593,1792
2021-10-22 18:34:54+00:00,,2652,3335,1969,+/- 1 sigma,2.373983,,,2021-10-22 18:34:54+00:00,Sentinel-2,Harvard,2,92870.1,4,218645,93016,93858,1676,1591,1773,1690,1601,1794
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,FR,FR,UnknownSentinel2Direction,2021-10-24 18:25:02+00:00,Sentinel-2,Harvard,1,225354,8,218645,221737,219168,3987,3770,4223,3949,3726,4184
