Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,OperatorSet,Satellite,Team,UnblindingStage,PipeSize_inch,MeterCode,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-19 18:24:58+00:00,170.88,5468,,,1446,UT 1 sigma,1.481,-96.7,,2021-10-19 18:24:58+00:00,Sentinel-2/UPV,Sentinel-2,UPV,1,8,218645,2874.49,TRUE,TRUE,TP,1,7188,6800,7594,6902,6521,7291
2021-10-19 18:24:58+00:00,319,6790,10408,4095,1-sigma confidence interval,+/- 1 sigma,2.9,338,189,2021-10-19 18:24:58+00:00,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,8,218645,2874.49,TRUE,TRUE,TP,1,7191,6800,7599,6907,6522,7286
2021-10-19 18:24:58+00:00,188,4069,6322,1816,+/- 1 sigma,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,2021-10-19 18:24:58+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,1,8,218645,2874.49,TRUE,TRUE,TP,1,7192,6795,7603,6901,6519,7291
2021-10-19 18:24:58+00:00,340,3760,1970,6260,Min/max,Min/max,1.8  [0.8-2.9],175,,2021-10-19 18:24:58+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,8,218645,2874.49,TRUE,TRUE,TP,1,7190,6801,7583,6902,6526,7288
2021-10-19 18:24:58+00:00,170.88,7234,18:24:58.763092Z,276.5,2331,UT 1 sigma,2.4,,,2021-10-19 18:24:58+00:00,Sentinel-2/UPV,Sentinel-2,UPV,2,8,218645,2874.49,TRUE,TRUE,TP,1,7190,6793,7595,6903,6522,7306
2021-10-19 18:24:58+00:00,319,6098,7431,4765,1-sigma confidence interval,+/- 1 sigma,2.49,14.79,189,2021-10-19 18:24:58+00:00,Sentinel-2/Kayrros,Sentinel-2,Kayrros,2,8,218645,2874.49,TRUE,TRUE,TP,1,7190,6798,7596,6907,6520,7290
2021-10-19 18:24:58+00:00,,5684,7053,4315,+/- 1 sigma,+/- 1 sigma,1.545715,,,2021-10-19 18:24:58+00:00,Sentinel-2/Harvard,Sentinel-2,Harvard,2,8,218645,2874.49,TRUE,TRUE,TP,1,7193,6798,7594,6904,6522,7294
2021-10-19 18:24:58+00:00,340,4680,3410,6000,Min/max,Min/max,2.6 [1.7-3.4]  ,197,,2021-10-19 18:24:58+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,8,218645,2874.49,TRUE,TRUE,TP,1,7191,6797,7593,6905,6532,7285
2021-10-21 18:10:37+00:00,278.21,3032,,,1012,UT 1 sigma,2.606,-86.2,,2021-10-21 18:10:37+00:00,Landsat 8/UPV,Landsat 8,UPV,1,8,218645,3552.435,TRUE,TRUE,TP,1,4201,3959,4446,4175,3945,4410
2021-10-21 18:10:37+00:00,319,2171,4958,626,1-sigma confidence interval,+/- 1 sigma,2.2,6,189,2021-10-21 18:10:37+00:00,Landsat 8/Kayrros,Landsat 8,Kayrros,1,8,218645,3552.435,TRUE,TRUE,TP,1,4201,3964,4445,4176,3948,4407
