Operator_Timestamp,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,Stanford_timestamp,OperatorSet,Satellite,Team,UnblindingStage,PipeSize_inch,MeterCode,cr_scfh_mean300,cr_scfh_mean600,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
2021-10-19 18:24:58+00:00,340,3760,1970,6260,Min/max,Min/max,1.8  [0.8-2.9],175,,2021-10-19 18:24:58+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,8,218645,398437.5124,382612.9314,7177.478398,6800.923178,7584.753259,6882.460493,6513.842982,7259.621479
2021-10-19 18:24:58+00:00,340,4680,3410,6000,Min/max,Min/max,2.6 [1.7-3.4]  ,197,,2021-10-19 18:24:58+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,8,218645,398437.5124,382612.9314,7175.30338,6823.316496,7557.515671,6880.500672,6507.077701,7237.058109
2021-10-21 18:10:37+00:00,490,1810,1418,2110,Min/max,Min/max,2.2 [1.7-2.4],186,,2021-10-21 18:10:37+00:00,Landsat 8/SRON,Landsat 8,SRON,1,8,218645,231569,231569,4192.920068,3941.564512,4426.290057,4172.174111,3948.130327,4393.35451
2021-10-21 18:10:37+00:00,490,2780,2450,3170,Min/max,Min/max,4.1 [3.9-4.4] ,221,,2021-10-21 18:10:37+00:00,Landsat 8/SRON,Landsat 8,SRON,2,8,218645,231569,231569,4181.870285,3942.331406,4447.03386,4164.486194,3925.230881,4403.093548
2021-10-22 18:34:54+00:00,330,1160,570,2590,Min/max,Min/max,1.4 [0.6-3.2],92,,2021-10-22 18:34:54+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,4,218645,93015.67433,93858.35217,1676.365203,1594.449804,1767.33784,1691.079088,1597.511189,1793.899868
2021-10-22 18:34:54+00:00,330,1500,1203,1790,Min/max,Min/max,1.9 [1.4-2.3],113,,2021-10-22 18:34:54+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,4,218645,93015.67433,93858.35217,1675.29536,1583.028981,1758.183208,1692.45234,1602.536671,1792.846399
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,,FR,FR,,2021-10-24 18:25:02+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,8,218645,221737.3633,219167.5233,3997.679371,3778.283649,4223.724162,3952.343271,3748.734952,4173.791889
2021-10-24 18:25:02+00:00,FR,FR,FR,FR,FR,,FR,FR,,2021-10-24 18:25:02+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,8,218645,221737.3633,219167.5233,4005.011295,3774.543914,4230.653341,3935.219935,3736.364553,4125.378187
2021-10-27 18:34:57+00:00,260,2250,1440,2870,Min/max,Min/max,3.8 [2.6-4.4],184,,2021-10-27 18:34:57+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,8,218645,194120.9667,191475.1033,3492.715223,3300.413379,3680.160275,3450.168431,3242.262058,3643.897438
2021-10-27 18:34:57+00:00,260,2380,1940,2840,Min/max,Min/max,4.2 [3.9-4.4] ,221,,2021-10-27 18:34:57+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,8,218645,194120.9667,191475.1033,3496.490447,3315.181061,3701.760202,3458.3202,3280.467121,3656.706101
2021-10-28 18:16:48+00:00,FR,FR,FR,FR,FR,,FR,FR,,2021-10-28 18:16:48+00:00,Landsat 8/SRON,Landsat 8,SRON,1,8,218645,115473.9767,114725.4733,2077.711983,1954.886041,2206.836636,2070.227841,1951.137454,2188.434755
2021-10-28 18:16:48+00:00,FR,FR,FR,FR,FR,,FR,FR,,2021-10-28 18:16:48+00:00,Landsat 8/SRON,Landsat 8,SRON,2,8,218645,115473.9767,114725.4733,2079.439437,1952.233532,2199.901282,2069.677248,1945.54289,2187.367675
2021-10-29 18:24:58+00:00,0,0,0,0,0,,0,0,,2021-10-29 18:24:58+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,8,218645,278775.0433,262685.7583,5006.187534,4742.981732,5264.613788,4736.123308,4491.868299,5018.748581
2021-10-29 18:24:58+00:00,0,0,0,0,0,,0,0,,2021-10-29 18:24:58+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,8,218645,278775.0433,262685.7583,5018.173279,4729.724768,5323.191655,4734.442174,4502.682106,4998.023439
2021-11-01 18:35:00+00:00,FR,FR,FR,FR,FR,,,,,2021-11-01 18:35:00+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,4,308188,0,0,0,0,0,0,0,0
2021-11-01 18:35:00+00:00,FR,FR,FR,FR,FR,,,,,2021-11-01 18:35:00+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,4,308188,0,0,0,0,0,0,0,0
2021-11-03 18:25:01+00:00,0,0,0,0,0,,0,0,,2021-11-03 18:25:01+00:00,Sentinel-2/SRON,Sentinel-2,SRON,1,4,308188,77025.21667,77539.2735,1386.928061,1309.453693,1461.003119,1397.869366,1320.709475,1480.365279
2021-11-03 18:25:01+00:00,0,0,0,0,0,,0,0,,2021-11-03 18:25:01+00:00,Sentinel-2/SRON,Sentinel-2,SRON,2,4,308188,77025.21667,77539.2735,1385.644311,1308.294359,1463.309146,1397.069664,1325.65982,1465.376285
