,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,UncertaintyTypeManual,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Satellite,Team,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1628,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,+/- 1 sigma,2.01,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,AZ,2021-10-24 17:19:20+00:00,0,2006,2621.325,TRUE,15.98333333,TRUE,TP,1,4236.981001,4002.860626,4479.877996,4236.576961,4004.44787,4475.556332,4234.866469,4002.020251,4470.857549,4240.127278,4005.90231,4477.098422,4237.897449,4002.072532,4478.460364
1,1676,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,+/- 1 sigma,2.49,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,AZ,2021-10-24 17:19:20+00:00,0,2006,2621.325,TRUE,15.98333333,TRUE,TP,1,4237.797333,4002.942315,4478.691763,4234.566456,3997.937473,4465.717225,4236.718713,4008.104971,4466.161135,4240.061482,4011.81275,4478.00479,4235.139186,4003.913173,4475.365602
2,1629,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,+/- 1 sigma,5.06,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,1,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,AZ,2021-10-25 17:13:41+00:00,0,2008,3190.58,TRUE,10.93333333,TRUE,TP,1,197.2921732,186.2262967,208.5028238,197.3456694,186.0166198,208.7124415,197.4258609,186.3337815,208.5421292,197.7154175,186.4064925,208.8058708,198.890752,187.8210719,210.1489248
3,1677,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,+/- 1 sigma,5.93,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,GHGSat C2,GHGSat,2,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,AZ,2021-10-25 17:13:41+00:00,0,2008,3190.58,TRUE,10.93333333,TRUE,TP,1,197.2298106,186.117427,208.9114078,197.3682818,186.1935628,208.6036357,197.4396094,186.3354787,208.5441002,197.7028719,186.4770147,208.9176475,198.9927253,187.5778917,210.3692157
4,1631,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,UT 1 sigma,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,PRISMA,UPV,1,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2003,6527.635,TRUE,27.56666667,TRUE,TP,1,4493.969041,4249.055052,4745.742274,4502.469749,4252.69851,4755.731093,4514.614549,4269.368372,4773.94998,4481.69913,4236.834521,4734.983893,4329.772671,4094.299099,4572.375039
5,1654,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,+/- 1 sigma,2.2,6,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2003,6527.635,TRUE,27.56666667,TRUE,TP,1,4494.401204,4248.547829,4739.381256,4499.014732,4256.888054,4757.464524,4517.487511,4270.636385,4763.154452,4480.471548,4234.242203,4733.304011,4330.693755,4089.14137,4572.834483
6,1679,,5,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,UT 1 sigma,3.935766667,,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,PRISMA,UPV,2,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2003,6527.635,TRUE,27.56666667,TRUE,TP,1,4494.967941,4247.4603,4754.783395,4500.615825,4254.805992,4754.681412,4517.562054,4269.206708,4776.305177,4482.107377,4235.134289,4734.120011,4328.421177,4090.995936,4571.038332
7,1702,,28,1,1,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,+/- 1 sigma,3.89,42.9,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,248685,8,218645,248685,FALSE,,249130.8667,249464.3167,250304.6333,248276.6867,239922.8433,AZ,2021-10-21 17:55:38+00:00,0,2003,6527.635,TRUE,27.56666667,TRUE,TP,1,4496.908293,4251.046945,4750.382207,4501.765915,4253.18657,4754.327702,4515.359313,4269.116441,4762.802298,4478.806041,4236.129535,4729.130289,4329.81932,4091.81473,4572.514594
8,1632,,6,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,UT 1 sigma,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,PRISMA,UPV,1,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2009,2812.01,TRUE,12.75,TRUE,TP,1,3390.614869,3199.086188,3585.175034,3398.74637,3207.589592,3588.30542,3405.185723,3214.71644,3600.447497,3443.104483,3249.716501,3634.158524,3475.975193,3280.158408,3671.444654
9,1655,,29,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,+/- 1 sigma,3.8,350,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,1,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2009,2812.01,TRUE,12.75,TRUE,TP,1,3390.849856,3201.872592,3579.947368,3397.719495,3208.139933,3587.299533,3407.343937,3213.446816,3604.835471,3445.255704,3252.994173,3639.798558,3476.415762,3283.866925,3670.024191
10,1680,,6,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,5645,,,2098,UT 1 sigma,3.744716667,,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,PRISMA,UPV,2,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2009,2812.01,TRUE,12.75,TRUE,TP,1,3392.045092,3203.458384,3585.170666,3398.225619,3204.587542,3589.791015,3407.966173,3217.924138,3599.960777,3441.832001,3248.690978,3633.77253,3475.32672,3275.988064,3670.079949
11,1703,,29,1,1,,2021-10-27 18:26:30+00:00,,,,Methane,422,5051,6454,3648,1-sigma confidence interval,+/- 1 sigma,3.36,46.7,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,PRISMA,Kayrros,2,,188145,8,218645,188145,FALSE,,187899.6,188305.3,188790.5444,190816.7067,192626.1333,AZ,2021-10-27 18:13:45+00:00,0,2009,2812.01,TRUE,12.75,TRUE,TP,1,3390.80028,3197.908393,3583.521145,3397.136399,3204.88271,3589.037519,3407.152908,3217.666396,3599.503082,3443.252057,3249.153607,3635.382208,3475.359923,3280.994452,3671.029045
12,1633,,7,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,170.88,5468,,,1446,UT 1 sigma,1.481,-96.7,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/UPV,Sentinel-2,UPV,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,2021-10-19 18:05:36+00:00,0,2002,2874.49,TRUE,19.36666667,TRUE,TP,1,7390.172205,6991.256598,7813.392977,7378.09303,6979.084889,7791.859824,7362.023527,6953.778408,7782.965002,7187.60999,6800.225872,7593.656416,6901.894202,6520.539229,7290.99871
13,1644,,18,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,319,6790,10408,4095,1-sigma confidence interval,+/- 1 sigma,2.9,338,189,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Kayrros,Sentinel-2,Kayrros,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,2021-10-19 18:05:36+00:00,0,2002,2874.49,TRUE,19.36666667,TRUE,TP,1,7394.778087,6989.406229,7803.023992,7382.310934,6978.773245,7793.439077,7360.683774,6960.259961,7784.746963,7190.502712,6799.7556,7599.283538,6906.798898,6522.03202,7286.364314
14,1658,,32,1,1,,2021-10-19 18:24:58+00:00,,,,Methane,188,4069,6322,1816,+/- 1 sigma,+/- 1 sigma,0.96373,4.321728,UnknownSentinel2Direction,,,2021-10-19 18:24:58+00:00,,Sentinel-2/Harvard,Sentinel-2,Harvard,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,2021-10-19 18:05:36+00:00,0,2002,2874.49,TRUE,19.36666667,TRUE,TP,1,7390.580896,6989.381577,7807.401671,7380.885785,6976.015531,7788.695724,7363.266779,6956.789283,7779.973449,7192.232362,6795.338237,7603.073732,6900.850268,6518.87654,7290.623962
15,1666,,40,,,,2021-10-19 18:24:58+00:00,,,,Methane,340,3760,1970,6260,Min/max,Min/max,1.8  [0.8-2.9],175,,,,2021-10-19 18:24:58+00:00,,Sentinel-2/SRON,Sentinel-2,SRON,1,,409664.08,8,218645,409664.08,FALSE,,409695.384,408949.2795,408024.5068,398437.5124,382612.9314,AZ,2021-10-19 18:05:36+00:00,0,2002,2874.49,TRUE,19.36666667,TRUE,TP,1,7392.455743,6989.391279,7812.355965,7378.860097,6976.873906,7793.701359,7362.044534,6961.777698,7779.352687,7190.477242,6801.34764,7583.416135,6902.420159,6525.685711,7288.017971
