,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900
0,1672,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1382,1920.98,843.02,39%,3.72,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,89141.35174,AZ,4.886,4.8775,4.998444444,4.329133333,4.6682,4.6682,22.3,27.91666667,29.87777778,30.71,31.15,32.54222222,0.686367751,0.629470116,0.605395054,0.910357669,0.989329764,0.989329764,9.370349421,10.29446398,9.255217512,34.32559865,25.12674051,28.29530821,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1633.037125,1534.430086,1732.480768,1637.408287,1534.894823,1740.780487,1625.073346,1530.661957,1727.337276,1667.889831,1570.464793,1779.495469,1697.119999,1553.816116,1864.022376,1686.851597,1495.228521,1888.05286
1,1724,,1,1,1,,2021-10-16 17:26:40+00:00,,,,Methane,,1534,1886,1181,23%,4.27,,,,,2021-10-16 17:26:40+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,90419.82,8,218645,90419.82,TRUE,,90591.936,90977.237,90404.87644,92336.07887,92646.23762,89141.35174,AZ,4.886,4.8775,4.998444444,4.329133333,4.6682,4.6682,22.3,27.91666667,29.87777778,30.71,31.15,32.54222222,0.686367751,0.629470116,0.605395054,0.910357669,0.989329764,0.989329764,9.370349421,10.29446398,9.255217512,34.32559865,25.12674051,28.29530821,2021-10-16 17:10:03+00:00,0,2001,4474.545,TRUE,16.61666667,TRUE,TP,1,1634.139773,1535.743107,1733.976874,1636.772476,1533.830951,1738.761635,1629.726277,1535.441143,1728.317967,1671.192685,1565.551693,1773.164358,1694.356406,1544.091848,1826.400549,1664.343187,1493.249938,1876.415357
2,1673,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,233651.32,AZ,1.713333333,2.011666667,2.247222222,2.6411,2.807,2.807,255.6666667,264.1333333,268.2,277.87,278.985,287.3433333,0.328563575,0.404856814,0.488991229,0.490319454,0.441662514,0.441662514,8.297624643,10.82599926,11.02622003,12.35754005,12.89749397,16.50701506,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4238.207324,4007.344676,4472.83547,4225.825157,3997.886882,4469.596281,4238.202801,3992.407165,4488.922007,4223.446627,3998.263472,4484.857808,4238.145503,4002.961571,4487.774311,4216.02253,3990.286746,4465.095937
3,1725,,2,1,1,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,235496,8,218645,235496,FALSE,,234785,234745.2833,234765.1,234940.8567,234874.5117,233651.32,AZ,1.713333333,2.011666667,2.247222222,2.6411,2.807,2.807,255.6666667,264.1333333,268.2,277.87,278.985,287.3433333,0.328563575,0.404856814,0.488991229,0.490319454,0.441662514,0.441662514,8.297624643,10.82599926,11.02622003,12.35754005,12.89749397,16.50701506,2021-10-24 17:19:20+00:00,0,2008,2621.325,TRUE,15.98333333,TRUE,TP,1,4236.804199,4000.754844,4469.452847,4224.133866,4011.599063,4466.027469,4227.041316,3989.078694,4453.805044,4236.351317,4034.765134,4498.291022,4229.551134,4002.861846,4456.075687,4210.302115,3989.505816,4441.528761
4,1674,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,8191.102489,AZ,5.641666667,5.3595,5.311111111,4.816333333,4.81705,4.81705,202.8666667,201.1166667,199.9222222,203.37,212.0866667,213.3744444,0.608049926,0.57242104,0.584458732,0.772187889,0.82607938,0.82607938,4.174911383,4.239010384,4.724375656,12.60778679,15.58366366,13.88290505,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.1520706,185.8147931,208.5347256,196.6093775,186.0011955,207.8534318,196.8733608,185.7645847,208.5615246,197.3585758,186.3033602,208.6312204,198.4481354,187.7386477,210.0960731,147.709664,140.0863659,156.2364793
5,1726,,3,1,1,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,+/- 1 sigma,,,10878.2,2,218645,10878.2,FALSE,,10928.99,10939.61333,10940.06222,10957.80633,11027.27433,8191.102489,AZ,5.641666667,5.3595,5.311111111,4.816333333,4.81705,4.81705,202.8666667,201.1166667,199.9222222,203.37,212.0866667,213.3744444,0.608049926,0.57242104,0.584458732,0.772187889,0.82607938,0.82607938,4.174911383,4.239010384,4.724375656,12.60778679,15.58366366,13.88290505,2021-10-25 17:13:41+00:00,0,2010,3190.58,TRUE,10.93333333,TRUE,TP,1,197.1824957,185.9337107,208.422684,197.0478836,187.1626789,208.555499,197.2299188,185.9031324,208.4928939,197.6590137,187.2347664,209.0564427,198.5553708,187.0998556,209.3301923,147.2539659,138.9729555,156.2916034
,,,,1,1,,2021-11-02 17:33:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-02 17:33:00+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,,,,,2,218645,,FALSE,,,,,,,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,NT,,,,,,,,,,,,,,,,,,,
,,,,1,1,,2021-11-02 17:33:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-02 17:33:00+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,,,,,2,218645,,FALSE,,,,,,,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,NT,,,,,,,,,,,,,,,,,,,
6,1676,,,1,1,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,1,,GHGSat C2,GHGSat,,,,6390.1,2,218645,6390.1,FALSE,,6371.826667,6375.115,6374.798889,6360.216,6341.75,6109.344667,AZ,3.702333333,3.573,3.401666667,2.9348,2.770516667,2.770516667,28.56666667,32.01666667,33.13333333,43.08,38.86,36.33333333,0.360580789,0.367281816,0.61938761,0.591624621,0.596010862,0.596010862,5.430966976,5.658327197,6.928527577,10.64823379,17.43618175,18.92882283,2021-11-03 17:07:48+00:00,0,2015,2907.63,TRUE,14.2,TRUE,NT,1,114.9714999,108.1761196,121.8631603,114.6608434,107.9718301,121.4051045,114.845314,107.8749324,122.0571932,114.4767128,107.2104595,121.7690062,114.1778646,107.0764148,121.0820576,110.2072963,103.9975816,116.6437419
7,1728,,,1,1,,2021-11-03 17:22:00+00:00,,,,Methane,NT,NT,NT,NT,NT,,,,,,2021-11-03 17:22:00+00:00,,,GHGSat C2/GHGSat,2,,GHGSat C2,GHGSat,,,,6390.1,2,218645,6390.1,FALSE,,6371.826667,6375.115,6374.798889,6360.216,6341.75,6109.344667,AZ,3.702333333,3.573,3.401666667,2.9348,2.770516667,2.770516667,28.56666667,32.01666667,33.13333333,43.08,38.86,36.33333333,0.360580789,0.367281816,0.61938761,0.591624621,0.596010862,0.596010862,5.430966976,5.658327197,6.928527577,10.64823379,17.43618175,18.92882283,2021-11-03 17:07:48+00:00,0,2015,2907.63,TRUE,14.2,TRUE,NT,1,115.000946,107.944856,121.9949576,114.625993,107.8411309,121.4164464,114.7924662,108.3653211,121.5256239,114.2742534,107.6447983,122.2405993,114.2127374,107.9342824,120.8570982,110.0673643,103.6025843,116.8692632
