datetime_UTC,instantaneous_scfh
07/31/21 10:24:50,46941.55
07/31/21 10:27:30,46765.88
07/31/21 10:29:30,46856.66
07/31/21 10:31:38,46627.16
07/31/21 10:33:32,46453.76
07/31/21 10:35:32,46550.51
07/31/21 10:37:18,46505.45
07/31/21 10:39:38,68264.45
07/31/21 10:41:46,67889.05
07/31/21 10:43:49,67844.16
07/31/21 10:45:40,67489.58
07/31/21 10:47:45,66839.23
07/31/21 10:49:47,66444.43
07/31/21 10:51:48,78832
07/31/21 10:53:45,77595.44
07/31/21 10:55:41,73858.55
07/31/21 10:57:33,72808.45
07/31/21 10:59:29,71837.8
07/31/21 11:02:06,70344.12
