time,release_scfh
08/03/2021 15:49:05,0
08/03/2021 15:49:15,0
08/03/2021 15:49:25,0
08/03/2021 15:49:35,0
08/03/2021 15:49:45,0
08/03/2021 15:49:55,0
08/03/2021 15:50:05,0
08/03/2021 15:50:15,0
08/03/2021 15:50:25,0
08/03/2021 15:50:35,0
08/03/2021 15:50:45,0
08/03/2021 15:50:55,0
08/03/2021 15:51:05,0
08/03/2021 15:51:15,0
08/03/2021 15:51:25,0
08/03/2021 15:51:35,0
08/03/2021 15:51:45,0
08/03/2021 15:51:55,0
08/03/2021 15:52:05,0
08/03/2021 15:52:15,0
08/03/2021 15:52:25,0
08/03/2021 15:52:35,0
08/03/2021 15:52:45,0
08/03/2021 15:52:55,18916.36
08/03/2021 15:53:05,38028.96
08/03/2021 15:53:15,24591.03
08/03/2021 15:53:25,22488
08/03/2021 15:53:35,24240.84
08/03/2021 15:53:45,25304.09
08/03/2021 15:53:55,26372.55
08/03/2021 15:54:05,26616.59
08/03/2021 15:54:15,26971.41
08/03/2021 15:54:25,27090.19
08/03/2021 15:54:35,27249.8
08/03/2021 15:54:45,27345.21
08/03/2021 15:54:55,27605.25
08/03/2021 15:55:05,27837.67
08/03/2021 15:55:15,28019.27
08/03/2021 15:55:25,28256.38
08/03/2021 15:55:35,28445.22
08/03/2021 15:55:45,28724.15
08/03/2021 15:55:55,28318.19
08/03/2021 15:56:05,28940.16
08/03/2021 15:56:15,28907.5
08/03/2021 15:56:25,28917.1
08/03/2021 15:56:35,29362
08/03/2021 15:56:45,29379.13
08/03/2021 15:56:55,29585.88
08/03/2021 15:57:05,29650.54
08/03/2021 15:57:15,29581.63
08/03/2021 15:57:25,29816.71
08/03/2021 15:57:35,30055.76
08/03/2021 15:57:45,29954.95
08/03/2021 15:57:55,30134.41
08/03/2021 15:58:05,30174.81
08/03/2021 15:58:15,30133.15
08/03/2021 15:58:25,30264.29
08/03/2021 15:58:35,30399.75
08/03/2021 15:58:45,30450.57
08/03/2021 15:58:55,30421.57
08/03/2021 15:59:05,30591
08/03/2021 15:59:15,30657.89
08/03/2021 15:59:25,30641.2
08/03/2021 15:59:35,30668.1
08/03/2021 15:59:45,30663.44
