timestamp,g per s
10/20/2021 17:43:28,0
10/20/2021 17:43:29,0
10/20/2021 17:43:30,0
10/20/2021 17:43:31,0
10/20/2021 17:43:32,0
10/20/2021 17:43:33,0
10/20/2021 17:43:34,0
10/20/2021 17:43:35,0
10/20/2021 17:43:36,0
10/20/2021 17:43:37,0
10/20/2021 17:43:38,2.7994
10/20/2021 17:43:39,2.7513
10/20/2021 17:43:40,2.7744
10/20/2021 17:43:41,2.7933
10/20/2021 17:43:42,2.8042
10/20/2021 17:43:43,2.8272
10/20/2021 17:43:44,2.8383
10/20/2021 17:43:45,2.8497
10/20/2021 17:43:46,2.8567
10/20/2021 17:43:47,2.8638
10/20/2021 17:43:48,2.8671
10/20/2021 17:43:49,2.8713
10/20/2021 17:43:50,2.8751
10/20/2021 17:43:51,2.8793
10/20/2021 17:43:52,2.8821
10/20/2021 17:43:53,2.8843
10/20/2021 17:43:54,2.8854
10/20/2021 17:43:55,2.8859
10/20/2021 17:43:56,2.8856
10/20/2021 17:43:57,2.8847
10/20/2021 17:43:58,2.9739
10/20/2021 17:43:59,3.353
10/20/2021 17:44:00,3.6578
10/20/2021 17:44:01,3.7766
10/20/2021 17:44:02,3.8546
10/20/2021 17:44:03,3.916
10/20/2021 17:44:04,3.9432
10/20/2021 17:44:05,3.9652
10/20/2021 17:44:06,3.9891
10/20/2021 17:44:07,4.0034
10/20/2021 17:44:08,4.015
10/20/2021 17:44:09,4.0285
10/20/2021 17:44:10,4.0375
10/20/2021 17:44:11,4.0455
10/20/2021 17:44:12,4.0548
10/20/2021 17:44:13,4.0606
10/20/2021 17:44:14,4.0658
10/20/2021 17:44:15,4.0713
10/20/2021 17:44:16,4.0747
10/20/2021 17:44:17,4.0778
10/20/2021 17:44:18,4.0797
10/20/2021 17:44:19,4.0812
10/20/2021 17:44:20,4.0824
10/20/2021 17:44:21,4.0834
10/20/2021 17:44:22,4.0839
10/20/2021 17:44:23,4.2834
10/20/2021 17:44:24,4.8446
10/20/2021 17:44:25,5.1308
10/20/2021 17:44:26,5.2843
10/20/2021 17:44:27,5.3793
10/20/2021 17:44:28,5.4246
10/20/2021 17:44:29,5.4595
10/20/2021 17:44:30,5.493
10/20/2021 17:44:31,5.5127
10/20/2021 17:44:32,5.5302
10/20/2021 17:44:33,5.5497
10/20/2021 17:44:34,5.562
10/20/2021 17:44:35,5.5788
10/20/2021 17:44:36,5.5848
10/20/2021 17:44:37,5.5921
10/20/2021 17:44:38,5.5983
10/20/2021 17:44:39,5.6047
10/20/2021 17:44:40,5.6087
10/20/2021 17:44:41,5.6289
10/20/2021 17:44:42,6.0813
10/20/2021 17:44:43,6.5002
10/20/2021 17:44:44,6.6494
10/20/2021 17:44:45,6.7527
10/20/2021 17:44:46,6.7948
10/20/2021 17:44:47,6.8292
10/20/2021 17:44:48,6.8583
10/20/2021 17:44:49,6.8794
10/20/2021 17:44:50,6.8959
10/20/2021 17:44:51,6.9148
10/20/2021 17:44:52,6.9268
10/20/2021 17:44:53,6.9375
10/20/2021 17:44:54,6.9505
10/20/2021 17:44:55,6.9591
10/20/2021 17:44:56,6.9667
10/20/2021 17:44:57,6.9752
10/20/2021 17:44:58,6.9805
10/20/2021 17:44:59,6.9852
10/20/2021 17:45:00,6.9909
10/20/2021 17:45:01,6.9949
10/20/2021 17:45:02,6.9981
10/20/2021 17:45:03,7.0023
10/20/2021 17:45:04,7.0048
10/20/2021 17:45:05,7.0072
10/20/2021 17:45:06,7.0098
10/20/2021 17:45:07,7.03
10/20/2021 17:45:08,7.2302
10/20/2021 17:45:09,7.4495
10/20/2021 17:45:10,7.6305
10/20/2021 17:45:11,7.7002
10/20/2021 17:45:12,7.7514
10/20/2021 17:45:13,7.7779
10/20/2021 17:45:14,7.7994
10/20/2021 17:45:15,7.8234
