PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported,Notes
1496-1-101-334-533-1,1,1,2021-10-18,17:28:43,N/A,N/A,N/A,Methane,N/A,153,229,77,,4.9,N/A,N/A,1,
1496-1-301-896-1095-2,1,1,2021-10-18,17:31:56,N/A,N/A,N/A,Methane,N/A,191,289,93,,4.88,N/A,N/A,1,
1496-1-102-578-777-3,1,1,2021-10-18,17:34:38,N/A,N/A,N/A,Methane,N/A,171,256,86,,4.88,N/A,N/A,1,
1496-1-302-827-1026-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Failed retrieval due to irregular trajectory
1496-1-103-471-670-5,1,1,2021-10-18,17:40:09,N/A,N/A,N/A,Methane,N/A,186,282,90,,4.87,N/A,N/A,1,
1496-1-303-1170-1369-6,1,1,2021-10-18,17:43:45,N/A,N/A,N/A,Methane,N/A,186,282,90,,4.87,N/A,N/A,1,
1496-1-104-876-1075-7,1,1,2021-10-18,17:46:45,N/A,N/A,N/A,Methane,N/A,625,946,304,,4.86,N/A,N/A,1,
1496-1-304-1313-1512-8,1,1,2021-10-18,17:50:15,N/A,N/A,N/A,Methane,N/A,569,857,281,,4.85,N/A,N/A,1,
1496-1-105-725-924-9,1,1,2021-10-18,17:53:18,N/A,N/A,N/A,Methane,N/A,525,823,227,,4.85,N/A,N/A,1,
1496-1-305-1063-1262-10,1,1,2021-10-18,17:56:48,N/A,N/A,N/A,Methane,N/A,760,1151,369,,4.84,N/A,N/A,1,
1496-1-106-720-919-11,1,1,2021-10-18,18:00:21,N/A,N/A,N/A,Methane,N/A,804,970,638,,4.84,N/A,N/A,1,
1496-1-306-1609-1808-12,1,1,2021-10-18,18:04:19,N/A,N/A,N/A,Methane,N/A,562,856,268,,4.83,N/A,N/A,1,
1496-1-107-932-1131-13,1,1,2021-10-18,18:07:47,N/A,N/A,N/A,Methane,N/A,327,491,163,,4.83,N/A,N/A,1,
1496-1-307-1608-1807-14,1,1,2021-10-18,18:11:36,N/A,N/A,N/A,Methane,N/A,199,301,97,,4.83,N/A,N/A,1,
1496-1-108-702-901-15,1,1,2021-10-18,18:15:02,N/A,N/A,N/A,Methane,N/A,272,412,132,,4.82,N/A,N/A,1,
1496-1-308-1364-1563-16,1,1,2021-10-18,18:18:59,N/A,N/A,N/A,Methane,N/A,233,354,112,,4.81,N/A,N/A,1,
1496-1-109-578-777-17,1,1,2021-10-18,18:22:12,N/A,N/A,N/A,Methane,N/A,206,312,100,,4.8,N/A,N/A,1,
1496-1-309-1389-1588-18,1,1,2021-10-18,18:26:14,N/A,N/A,N/A,Methane,N/A,224,338,110,,4.8,N/A,N/A,1,
1496-1-110-0510-0709-19,1,1,2021-10-18,18:29:08,N/A,N/A,N/A,Methane,N/A,185,282,88,,4.79,N/A,N/A,1,
1496-1-111-0929-1128-20,1,1,2021-10-18,18:36:57,N/A,N/A,N/A,Methane,N/A,175,264,86,,4.85,N/A,N/A,1,
1496-1-311-889-1088-21,1,1,2021-10-18,18:39:46,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-1-112-430-629-22,1,1,2021-10-18,18:44:23,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-1-312-1188-1387-23,1,1,2021-10-18,18:47:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-1-131-609-808-24,1,1,2021-10-18,18:51:04,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-1-313-1228-1427-25,1,1,2021-10-18,18:54:00,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-1-114-0735-0934-26,1,1,2021-10-18,18:58:38,N/A,N/A,N/A,Methane,N/A,124,191,57,,5.05,N/A,N/A,1,
1496-1-314-1284-1493-27,1,1,2021-10-18,19:01:35,N/A,N/A,N/A,Methane,N/A,159,238,80,,5.09,N/A,N/A,1,
1496-1-115-657-856-28,1,1,2021-10-18,19:02:35,N/A,N/A,N/A,Methane,N/A,233,349,117,,5.13,N/A,N/A,1,
1496-1-315-1227-1426-29,1,1,2021-10-18,19:10:13,N/A,N/A,N/A,Methane,N/A,213,325,101,,4.86,N/A,N/A,1,
1496-1-116-696-895-30,1,1,2021-10-18,19:13:29,N/A,N/A,N/A,Methane,N/A,139,211,67,,4.81,N/A,N/A,1,
1496-1-316-1423-1622-31,1,1,2021-10-18,19:17:26,N/A,N/A,N/A,Methane,N/A,171,260,82,,5.22,N/A,N/A,1,
1496-1-317-1797-1996-32,1,1,2021-10-18,19:24:45,N/A,N/A,N/A,Methane,N/A,165,245,85,,5.28,N/A,N/A,1,
1496-2-101-1831-2030-33,1,1,2021-10-19,17:35:51,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,
1496-2-102-195-394-34,N/A,N/A,2021-10-19,17:41:29,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,"No emission seen in study area, but a methane cloud was detected downwind"
1496-2-103-897-1096-35,1,1,2021-10-19,17:47:05,N/A,N/A,N/A,Methane,N/A,1638,2457,819,,1.04,N/A,N/A,1,
1496-2-105-215-414-36,1,1,2021-10-19,17:51:10,N/A,N/A,N/A,Methane,N/A,1565,2494,636,,1.61,N/A,N/A,1,
1496-2-106-1628-1827-37,1,1,2021-10-19,17:56:26,N/A,N/A,N/A,Methane,N/A,1276,2036,516,,1.53,N/A,N/A,1,
1496-2-107-368-567-38,1,1,2021-10-19,18:00:45,N/A,N/A,N/A,Methane,N/A,1062,1681,443,,1.44,N/A,N/A,1,
1496-2-108-1332-1531-39,1,1,2021-10-19,18:06:19,N/A,N/A,N/A,Methane,N/A,1489,2360,618,,1.37,N/A,N/A,1,
1496-2-109-715-914-40,1,1,2021-10-19,18:10:46,N/A,N/A,N/A,Methane,N/A,1768,2814,722,,1.29,N/A,N/A,1,
1496-2-110-504-703-41,1,1,2021-10-19,18:15:05,N/A,N/A,N/A,Methane,N/A,1948,3101,795,,1.21,N/A,N/A,1,
1496-2-111-730-929-42,1,1,2021-10-19,18:19:09,N/A,N/A,N/A,Methane,N/A,1448,2301,595,,1.15,N/A,N/A,1,
1496-2-112-923-1122-43,1,1,2021-10-19,18:24:04,N/A,N/A,N/A,Methane,N/A,1569,2513,625,,1.07,N/A,N/A,1,
1496-2-113-543-742-44,1,1,2021-10-19,18:27:56,N/A,N/A,N/A,Methane,N/A,862,1375,349,,1.01,N/A,N/A,1,
1496-2-114-1031-1230-45,1,1,2021-10-19,18:32:44,N/A,N/A,N/A,Methane,N/A,818,1302,334,,0.96,N/A,N/A,1,
1496-2-301-900-1099-46,1,1,2021-10-19,18:36:11,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1,
1496-2-302-1015-1214-47,1,1,2021-10-19,18:41:26,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,1,
1496-2-303-705-904-48,1,2,2021-10-19,18:45:56,N/A,N/A,N/A,Methane,N/A,104,167,41,,0.91,N/A,N/A,2,
1496-2-303-705-904-49,1,1,2021-10-19,18:45:56,N/A,N/A,N/A,Methane,N/A,66,106,26,,0.91,N/A,N/A,1,
1496-2-304-1127-1326-50,1,1,2021-10-19,18:50:16,N/A,N/A,N/A,Methane,N/A,37,59,15,,0.9,N/A,N/A,1,
1496-2-305-537-736-51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Target missed (outside instrument field of view)
1496-2-306-1591-1790-52,1,1,2021-10-19,18:59:55,N/A,N/A,N/A,Methane,N/A,51,81,21,,0.87,N/A,N/A,1,
1496-2-307-464-663-53,1,1,2021-10-19,19:04:12,N/A,N/A,N/A,Methane,N/A,60,96,24,,0.85,N/A,N/A,1,
1496-2-308-536-735-54,1,1,2021-10-19,19:07:58,N/A,N/A,N/A,Methane,N/A,62,98,26,,0.84,N/A,N/A,1,
1496-2-309-580-779-55,1,1,2021-10-19,19:11:56,N/A,N/A,N/A,Methane,N/A,33,52,14,,0.83,N/A,N/A,1,
1496-2-310-1343-1542-56,1,1,2021-10-19,19:17:02,N/A,N/A,N/A,Methane,N/A,29,46,12,,0.82,N/A,N/A,1,
1496-2-311-837-1036-57,1,1,2021-10-19,19:21:21,N/A,N/A,N/A,Methane,N/A,43,68,18,,0.8,N/A,N/A,1,
1496-2-312-1073-1272-58,1,1,2021-10-19,19:25:38,N/A,N/A,N/A,Methane,N/A,49,78,20,,0.79,N/A,N/A,1,
1496-2-313-495-694-59,1,1,2021-10-19,19:29:39,N/A,N/A,N/A,Methane,N/A,11,17,5,,0.77,N/A,N/A,1,
1496-2-314-1116-1315-60,1,1,2021-10-19,19:33:15,N/A,N/A,N/A,Methane,N/A,22,35,9,,0.78,N/A,N/A,1,
1496-2-315-1178-1377-61,1,1,2021-10-19,19:37:03,N/A,N/A,N/A,Methane,N/A,20,32,8,,0.8,N/A,N/A,1,
1496-2-316-914-1113-62,1,1,2021-10-19,19:41:16,N/A,N/A,N/A,Methane,N/A,23,36,10,,0.81,N/A,N/A,1,
1496-2-317-124-323-63,1,1,2021-10-19,19:45:15,N/A,N/A,N/A,Methane,N/A,76,121,31,,0.83,N/A,N/A,1,
1496-2-318-1040-1239-64,1,1,2021-10-19,19:48:44,N/A,N/A,N/A,Methane,N/A,61,96,26,,0.85,N/A,N/A,1,
1496-2-319-610-809-65,1,1,2021-10-19,19:52:42,N/A,N/A,N/A,Methane,N/A,103,163,43,,0.86,N/A,N/A,1,
1496-2-320-709-908-66,1,1,2021-10-19,19:56:36,N/A,N/A,N/A,Methane,N/A,62,99,25,,0.88,N/A,N/A,1,
1496-2-321-623-822-67,1,1,2021-10-19,20:00:41,N/A,N/A,N/A,Methane,N/A,48,76,20,,0.9,N/A,N/A,1,
1496-2-322-1236-1425-68,1,1,2021-10-19,20:05:09,N/A,N/A,N/A,Methane,N/A,77,123,31,,0.92,N/A,N/A,1,
