PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported
1496-1-101-334-533-1,1,1,2021-10-18,17:28:43,N/A,N/A,N/A,Methane,N/A,226,299,152,,7.24,N/A,N/A,1
1496-1-301-896-1095-2,1,1,2021-10-18,17:31:56,N/A,N/A,N/A,Methane,N/A,326,420,232,,8.28,N/A,N/A,1
1496-1-102-578-777-3,1,1,2021-10-18,17:34:38,N/A,N/A,N/A,Methane,N/A,277,365,189,,7.88,N/A,N/A,1
1496-1-302-827-1026-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Methane,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A
1496-1-103-471-670-5,1,1,2021-10-18,17:40:09,N/A,N/A,N/A,Methane,N/A,367,502,232,,9.57,N/A,N/A,1
1496-1-303-1170-1369-6,1,1,2021-10-18,17:43:45,N/A,N/A,N/A,Methane,N/A,366,502,230,,9.57,N/A,N/A,1
1496-1-104-876-1075-7,1,1,2021-10-18,17:46:45,N/A,N/A,N/A,Methane,N/A,1035,1373,697,,8.06,N/A,N/A,1
1496-1-304-1313-1512-8,1,1,2021-10-18,17:50:15,N/A,N/A,N/A,Methane,N/A,1218,1624,813,,10.38,N/A,N/A,1
1496-1-105-725-924-9,1,1,2021-10-18,17:53:18,N/A,N/A,N/A,Methane,N/A,1141,1555,727,,9.2,N/A,N/A,1
1496-1-305-1063-1262-10,1,1,2021-10-18,17:56:48,N/A,N/A,N/A,Methane,N/A,1397,1878,916,,8.89,N/A,N/A,1
1496-1-106-720-919-11,1,1,2021-10-18,18:00:21,N/A,N/A,N/A,Methane,N/A,1292,1731,853,,7.77,N/A,N/A,1
1496-1-306-1609-1808-12,1,1,2021-10-18,18:04:19,N/A,N/A,N/A,Methane,N/A,880,1207,553,,7.57,N/A,N/A,1
