datetime,channel_1,channel_2,channel_3,channel_4,,
10/21/21 18:20:26,247010,>Range,>Range,>Range,,
10/21/21 18:20:27,247194,>Range,>Range,>Range,,
10/21/21 18:20:28,247562,>Range,>Range,>Range,,
10/21/21 18:20:29,247623,>Range,>Range,>Range,,
10/21/21 18:20:30,247646,>Range,>Range,>Range,,
10/21/21 18:20:31,247578,>Range,>Range,>Range,,
10/21/21 18:20:32,247521,>Range,>Range,>Range,,
10/21/21 18:20:33,247760,>Range,>Range,>Range,,
10/21/21 18:20:34,248119,>Range,>Range,>Range,,
10/21/21 18:20:35,248289,>Range,>Range,>Range,,
10/21/21 18:20:36,248432,>Range,>Range,>Range,,
10/21/21 18:20:37,248631,>Range,>Range,>Range,,
10/21/21 18:20:38,248501,>Range,>Range,>Range,,
10/21/21 18:20:39,248169,>Range,>Range,>Range,,
10/21/21 18:20:40,248276,>Range,>Range,>Range,,
10/21/21 18:20:41,248324,>Range,>Range,>Range,,
10/21/21 18:20:42,248634,>Range,>Range,>Range,,
10/21/21 18:20:43,248971,>Range,>Range,>Range,,
10/21/21 18:20:44,248975,>Range,>Range,>Range,,
10/21/21 18:20:45,249031,>Range,>Range,>Range,,
10/21/21 18:20:46,249418,>Range,>Range,>Range,,
10/21/21 18:20:47,249719,>Range,>Range,>Range,,
10/21/21 18:20:48,250137,>Range,>Range,>Range,,
10/21/21 18:20:49,250494,>Range,>Range,>Range,,
10/21/21 18:20:50,250876,>Range,>Range,>Range,,
10/21/21 18:20:51,250951,>Range,>Range,>Range,,
10/21/21 18:20:52,250682,>Range,>Range,>Range,,
10/21/21 18:20:53,250405,>Range,>Range,>Range,,
10/21/21 18:20:54,250797,>Range,>Range,>Range,,
10/21/21 18:20:55,250909,>Range,>Range,>Range,,
10/21/21 18:20:56,250517,>Range,>Range,>Range,,
10/21/21 18:20:57,250183,>Range,>Range,>Range,,
10/21/21 18:20:58,250301,>Range,>Range,>Range,,
10/21/21 18:20:59,250450,>Range,>Range,>Range,,
10/21/21 18:21:00,250342,>Range,>Range,>Range,,
10/21/21 18:21:01,250312,>Range,>Range,>Range,,
10/21/21 18:21:02,250251,>Range,>Range,>Range,,
10/21/21 18:21:03,250192,>Range,>Range,>Range,,
10/21/21 18:21:04,250458,>Range,>Range,>Range,,
10/21/21 18:21:05,250684,>Range,>Range,>Range,,
10/21/21 18:21:06,251035,>Range,>Range,>Range,,
10/21/21 18:21:07,251400,>Range,>Range,>Range,,
10/21/21 18:21:08,251554,>Range,>Range,>Range,,
10/21/21 18:21:09,251691,>Range,>Range,>Range,,
10/21/21 18:21:10,251810,>Range,>Range,>Range,,
10/21/21 18:21:11,251663,>Range,>Range,>Range,,
10/21/21 18:21:12,251902,>Range,>Range,>Range,,
10/21/21 18:21:13,251790,>Range,>Range,>Range,,
10/21/21 18:21:14,251681,>Range,>Range,>Range,,
10/21/21 18:21:15,251758,>Range,>Range,>Range,,
10/21/21 18:21:16,251942,>Range,>Range,>Range,,
10/21/21 18:21:17,252080,>Range,>Range,>Range,,
10/21/21 18:21:18,252197,>Range,>Range,>Range,,
10/21/21 18:21:19,252058,>Range,>Range,>Range,,
10/21/21 18:21:20,252111,>Range,>Range,>Range,,
10/21/21 18:21:21,252321,>Range,>Range,>Range,,
10/21/21 18:21:22,252419,>Range,>Range,>Range,,
10/21/21 18:21:23,252288,>Range,>Range,>Range,,
10/21/21 18:21:24,251952,>Range,>Range,>Range,,
10/21/21 18:21:25,251668,>Range,>Range,>Range,,
10/21/21 18:21:26,251557,>Range,>Range,>Range,,
10/21/21 18:21:27,251730,>Range,>Range,>Range,,
10/21/21 18:21:28,252016,>Range,>Range,>Range,,
10/21/21 18:21:29,252124,>Range,>Range,>Range,,
10/21/21 18:21:30,252169,>Range,>Range,>Range,,
10/21/21 18:21:31,251284,>Range,>Range,>Range,,
10/21/21 18:21:32,251202,>Range,>Range,>Range,,
10/21/21 18:21:33,251641,>Range,>Range,>Range,,
10/21/21 18:21:34,252200,>Range,>Range,>Range,,
10/21/21 18:21:35,252337,>Range,>Range,>Range,,
10/21/21 18:21:36,252005,>Range,>Range,>Range,,
10/21/21 18:21:37,251683,>Range,>Range,>Range,,
10/21/21 18:21:38,251777,>Range,>Range,>Range,,
10/21/21 18:21:39,251880,>Range,>Range,>Range,,
10/21/21 18:21:40,251774,>Range,>Range,>Range,,
10/21/21 18:21:41,251733,>Range,>Range,>Range,,
10/21/21 18:21:42,251795,>Range,>Range,>Range,,
10/21/21 18:21:43,252399,>Range,>Range,>Range,,
10/21/21 18:21:44,252632,>Range,>Range,>Range,,
10/21/21 18:21:45,252676,>Range,>Range,>Range,,
10/21/21 18:21:46,252754,>Range,>Range,>Range,,
10/21/21 18:21:47,252552,>Range,>Range,>Range,,
10/21/21 18:21:48,252042,>Range,>Range,>Range,,
10/21/21 18:21:49,251896,>Range,>Range,>Range,,
10/21/21 18:21:50,251746,>Range,>Range,>Range,,
10/21/21 18:21:51,251666,>Range,>Range,>Range,,
10/21/21 18:21:52,252030,>Range,>Range,>Range,,
10/21/21 18:21:53,252281,>Range,>Range,>Range,,
10/21/21 18:21:54,252072,>Range,>Range,>Range,,
10/21/21 18:21:55,251870,>Range,>Range,>Range,,
10/21/21 18:21:56,252128,>Range,>Range,>Range,,
10/21/21 18:21:57,252374,>Range,>Range,>Range,,
10/21/21 18:21:58,252172,>Range,>Range,>Range,,
10/21/21 18:21:59,252158,>Range,>Range,>Range,,
10/21/21 18:22:00,252299,>Range,>Range,>Range,,
10/21/21 18:22:01,252563,>Range,>Range,>Range,,
10/21/21 18:22:02,252862,>Range,>Range,>Range,,
10/21/21 18:22:03,253026,>Range,>Range,>Range,,
10/21/21 18:22:04,252631,>Range,>Range,>Range,,
10/21/21 18:22:05,252042,>Range,>Range,>Range,,
10/21/21 18:22:06,251843,>Range,>Range,>Range,,
10/21/21 18:22:07,251457,>Range,>Range,>Range,,
10/21/21 18:22:08,250977,>Range,>Range,>Range,,
10/21/21 18:22:09,250737,>Range,>Range,>Range,,
10/21/21 18:22:10,250591,>Range,>Range,>Range,,
10/21/21 18:22:11,250710,>Range,>Range,>Range,,
10/21/21 18:22:12,250372,>Range,>Range,>Range,,
10/21/21 18:22:13,249995,>Range,>Range,>Range,,
10/21/21 18:22:14,250266,>Range,>Range,>Range,,
10/21/21 18:22:15,250581,>Range,>Range,>Range,,
10/21/21 18:22:16,250517,>Range,>Range,>Range,,
10/21/21 18:22:17,250492,>Range,>Range,>Range,,
10/21/21 18:22:18,250143,>Range,>Range,>Range,,
10/21/21 18:22:19,249596,>Range,>Range,>Range,,
10/21/21 18:22:20,249530,>Range,>Range,>Range,,
10/21/21 18:22:21,249683,>Range,>Range,>Range,,
10/21/21 18:22:22,249292,>Range,>Range,>Range,,
10/21/21 18:22:23,249269,>Range,>Range,>Range,,
10/21/21 18:22:24,249350,>Range,>Range,>Range,,
10/21/21 18:22:25,249528,>Range,>Range,>Range,,
10/21/21 18:22:26,249466,>Range,>Range,>Range,,
10/21/21 18:22:27,249125,>Range,>Range,>Range,,
10/21/21 18:22:28,249077,>Range,>Range,>Range,,
10/21/21 18:22:29,249422,>Range,>Range,>Range,,
10/21/21 18:22:30,249917,>Range,>Range,>Range,,
10/21/21 18:22:31,250096,>Range,>Range,>Range,,
10/21/21 18:22:32,250148,>Range,>Range,>Range,,
10/21/21 18:22:33,249907,>Range,>Range,>Range,,
10/21/21 18:22:34,249708,>Range,>Range,>Range,,
10/21/21 18:22:35,250051,>Range,>Range,>Range,,
10/21/21 18:22:36,250348,>Range,>Range,>Range,,
10/21/21 18:22:37,250428,>Range,>Range,>Range,,
10/21/21 18:22:38,250163,>Range,>Range,>Range,,
10/21/21 18:22:39,249787,>Range,>Range,>Range,,
10/21/21 18:22:40,249569,>Range,>Range,>Range,,
10/21/21 18:22:41,249315,>Range,>Range,>Range,,
10/21/21 18:22:42,249164,>Range,>Range,>Range,,
10/21/21 18:22:43,248906,>Range,>Range,>Range,,
10/21/21 18:22:44,248789,>Range,>Range,>Range,,
10/21/21 18:22:45,248966,>Range,>Range,>Range,,
10/21/21 18:22:46,249108,>Range,>Range,>Range,,
10/21/21 18:22:47,248990,>Range,>Range,>Range,,
10/21/21 18:22:48,249095,>Range,>Range,>Range,,
10/21/21 18:22:49,249305,>Range,>Range,>Range,,
10/21/21 18:22:50,249397,>Range,>Range,>Range,,
10/21/21 18:22:51,249635,>Range,>Range,>Range,,
10/21/21 18:22:52,250016,>Range,>Range,>Range,,
10/21/21 18:22:53,249823,>Range,>Range,>Range,,
10/21/21 18:22:54,249404,>Range,>Range,>Range,,
10/21/21 18:22:55,249128,>Range,>Range,>Range,,
10/21/21 18:22:56,248765,>Range,>Range,>Range,,
10/21/21 18:22:57,249357,>Range,>Range,>Range,,
10/21/21 18:22:58,249528,>Range,>Range,>Range,,
10/21/21 18:22:59,249458,>Range,>Range,>Range,,
10/21/21 18:23:00,249415,>Range,>Range,>Range,,
10/21/21 18:23:01,249153,>Range,>Range,>Range,,
10/21/21 18:23:02,248960,>Range,>Range,>Range,,
10/21/21 18:23:03,248893,>Range,>Range,>Range,,
10/21/21 18:23:04,248539,>Range,>Range,>Range,,
10/21/21 18:23:05,248513,>Range,>Range,>Range,,
10/21/21 18:23:06,249002,>Range,>Range,>Range,,
10/21/21 18:23:07,249126,>Range,>Range,>Range,,
10/21/21 18:23:08,249111,>Range,>Range,>Range,,
10/21/21 18:23:09,249056,>Range,>Range,>Range,,
10/21/21 18:23:10,248929,>Range,>Range,>Range,,
10/21/21 18:23:11,248874,>Range,>Range,>Range,,
10/21/21 18:23:12,248685,>Range,>Range,>Range,,
10/21/21 18:23:13,248194,>Range,>Range,>Range,,
10/21/21 18:23:14,248129,>Range,>Range,>Range,,
10/21/21 18:23:15,248101,>Range,>Range,>Range,,
10/21/21 18:23:16,247860,>Range,>Range,>Range,,
10/21/21 18:23:17,247905,>Range,>Range,>Range,,
10/21/21 18:23:18,247981,>Range,>Range,>Range,,
10/21/21 18:23:19,247842,>Range,>Range,>Range,,
10/21/21 18:23:20,247752,>Range,>Range,>Range,,
10/21/21 18:23:21,247414,>Range,>Range,>Range,,
10/21/21 18:23:22,247096,>Range,>Range,>Range,,
10/21/21 18:23:23,247150,>Range,>Range,>Range,,
10/21/21 18:23:24,247202,>Range,>Range,>Range,,
10/21/21 18:23:25,247621,>Range,>Range,>Range,,
10/21/21 18:23:26,247656,>Range,>Range,>Range,,
10/21/21 18:23:27,247529,>Range,>Range,>Range,,
10/21/21 18:23:28,247273,>Range,>Range,>Range,,
10/21/21 18:23:29,247298,>Range,>Range,>Range,,
10/21/21 18:23:30,247537,>Range,>Range,>Range,,
10/21/21 18:23:31,247737,>Range,>Range,>Range,,
10/21/21 18:23:32,247612,>Range,>Range,>Range,,
10/21/21 18:23:33,247495,>Range,>Range,>Range,,
10/21/21 18:23:34,247707,>Range,>Range,>Range,,
10/21/21 18:23:35,247911,>Range,>Range,>Range,,
10/21/21 18:23:36,248002,>Range,>Range,>Range,,
10/21/21 18:23:37,248358,>Range,>Range,>Range,,
10/21/21 18:23:38,248412,>Range,>Range,>Range,,
10/21/21 18:23:39,248202,>Range,>Range,>Range,,
10/21/21 18:23:40,248032,>Range,>Range,>Range,,
10/21/21 18:23:41,247557,>Range,>Range,>Range,,
10/21/21 18:23:42,247538,>Range,>Range,>Range,,
10/21/21 18:23:43,247264,>Range,>Range,>Range,,
10/21/21 18:23:44,246488,>Range,>Range,>Range,,
10/21/21 18:23:45,246316,>Range,>Range,>Range,,
10/21/21 18:23:46,246375,>Range,>Range,>Range,,
10/21/21 18:23:47,246595,>Range,>Range,>Range,,
10/21/21 18:23:48,246695,>Range,>Range,>Range,,
10/21/21 18:23:49,246814,>Range,>Range,>Range,,
10/21/21 18:23:50,247127,>Range,>Range,>Range,,
10/21/21 18:23:51,247243,>Range,>Range,>Range,,
10/21/21 18:23:52,246925,>Range,>Range,>Range,,
10/21/21 18:23:53,246659,>Range,>Range,>Range,,
10/21/21 18:23:54,246671,>Range,>Range,>Range,,
10/21/21 18:23:55,246695,>Range,>Range,>Range,,
10/21/21 18:23:56,246691,>Range,>Range,>Range,,
10/21/21 18:23:57,246795,>Range,>Range,>Range,,
10/21/21 18:23:58,247208,>Range,>Range,>Range,,
10/21/21 18:23:59,247301,>Range,>Range,>Range,,
10/21/21 18:24:00,246898,>Range,>Range,>Range,,
10/21/21 18:24:01,246898,>Range,>Range,>Range,,
10/21/21 18:24:02,246981,>Range,>Range,>Range,,
10/21/21 18:24:03,247063,>Range,>Range,>Range,,
10/21/21 18:24:04,246690,>Range,>Range,>Range,,
10/21/21 18:24:05,246287,>Range,>Range,>Range,,
10/21/21 18:24:06,246130,>Range,>Range,>Range,,
10/21/21 18:24:07,245835,>Range,>Range,>Range,,
10/21/21 18:24:08,245763,>Range,>Range,>Range,,
10/21/21 18:24:09,246115,>Range,>Range,>Range,,
10/21/21 18:24:10,246638,>Range,>Range,>Range,,
10/21/21 18:24:11,246623,>Range,>Range,>Range,,
