datetime,channel_1,channel_2,channel_3,channel_4
10/21/21 19:21:19,48865,>Range,>Range,>Range
10/21/21 19:21:20,48861.6,>Range,>Range,>Range
10/21/21 19:21:21,48900.5,>Range,>Range,>Range
10/21/21 19:21:22,48962.8,>Range,>Range,>Range
10/21/21 19:21:23,48945.8,>Range,>Range,>Range
10/21/21 19:21:24,48891.6,>Range,>Range,>Range
10/21/21 19:21:25,48382.8,>Range,>Range,>Range
10/21/21 19:21:26,46788.5,>Range,>Range,>Range
10/21/21 19:21:27,44733.4,>Range,>Range,>Range
10/21/21 19:21:28,42950.5,>Range,>Range,>Range
10/21/21 19:21:29,41608.7,>Range,>Range,>Range
10/21/21 19:21:30,40516.4,>Range,>Range,>Range
10/21/21 19:21:31,39909.4,>Range,>Range,>Range
10/21/21 19:21:32,39631.7,>Range,>Range,>Range
10/21/21 19:21:33,39482.1,>Range,>Range,>Range
10/21/21 19:21:34,39384,>Range,>Range,>Range
10/21/21 19:21:35,39458.5,>Range,>Range,>Range
10/21/21 19:21:36,39657.1,>Range,>Range,>Range
10/21/21 19:21:37,39594.3,>Range,>Range,>Range
10/21/21 19:21:38,39430.1,>Range,>Range,>Range
10/21/21 19:21:39,39400.6,>Range,>Range,>Range
10/21/21 19:21:40,39304.9,>Range,>Range,>Range
10/21/21 19:21:41,39255.3,>Range,>Range,>Range
10/21/21 19:21:42,39152.5,>Range,>Range,>Range
10/21/21 19:21:43,39207.2,>Range,>Range,>Range
10/21/21 19:21:44,39265.8,>Range,>Range,>Range
10/21/21 19:21:45,39275.6,>Range,>Range,>Range
10/21/21 19:21:46,39254.7,>Range,>Range,>Range
10/21/21 19:21:47,39336.8,>Range,>Range,>Range
10/21/21 19:21:48,39370.8,>Range,>Range,>Range
10/21/21 19:21:49,39489.5,>Range,>Range,>Range
10/21/21 19:21:50,39408.3,>Range,>Range,>Range
10/21/21 19:21:51,39280.9,>Range,>Range,>Range
10/21/21 19:21:52,39060.9,>Range,>Range,>Range
10/21/21 19:21:53,38874.5,>Range,>Range,>Range
10/21/21 19:21:54,38783.8,>Range,>Range,>Range
10/21/21 19:21:55,38772.5,>Range,>Range,>Range
10/21/21 19:21:56,38856.4,>Range,>Range,>Range
10/21/21 19:21:57,39013.8,>Range,>Range,>Range
10/21/21 19:21:58,39068.4,>Range,>Range,>Range
10/21/21 19:21:59,39054.9,>Range,>Range,>Range
10/21/21 19:22:00,39156.6,>Range,>Range,>Range
10/21/21 19:22:01,39163.6,>Range,>Range,>Range
10/21/21 19:22:02,39258.9,>Range,>Range,>Range
10/21/21 19:22:03,39324.1,>Range,>Range,>Range
10/21/21 19:22:04,39160.9,>Range,>Range,>Range
10/21/21 19:22:05,39052.4,>Range,>Range,>Range
10/21/21 19:22:06,39332.5,>Range,>Range,>Range
10/21/21 19:22:07,40061.2,>Range,>Range,>Range
10/21/21 19:22:08,40785,>Range,>Range,>Range
10/21/21 19:22:09,41270.7,>Range,>Range,>Range
10/21/21 19:22:10,41814.9,>Range,>Range,>Range
10/21/21 19:22:11,42345.3,>Range,>Range,>Range
10/21/21 19:22:12,42718.6,>Range,>Range,>Range
10/21/21 19:22:13,42959.8,>Range,>Range,>Range
10/21/21 19:22:14,43163.9,>Range,>Range,>Range
10/21/21 19:22:15,43332.7,>Range,>Range,>Range
10/21/21 19:22:16,43287.7,>Range,>Range,>Range
10/21/21 19:22:17,43088,>Range,>Range,>Range
