datetime,channel_1,channel_2,channel_3,channel_4
10/22/21 16:38:09,>Range,-124.4,>Range,>Range
10/22/21 16:38:10,>Range,-124.7,>Range,>Range
10/22/21 16:38:11,>Range,-125.6,>Range,>Range
10/22/21 16:38:12,>Range,-125.2,>Range,>Range
10/22/21 16:38:13,>Range,-127,>Range,>Range
10/22/21 16:38:14,>Range,-124.4,>Range,>Range
10/22/21 16:38:15,>Range,-124.3,>Range,>Range
10/22/21 16:38:16,>Range,-121.8,>Range,>Range
10/22/21 16:38:17,>Range,-121.7,>Range,>Range
10/22/21 16:38:18,>Range,-124.9,>Range,>Range
10/22/21 16:38:19,>Range,-123.3,>Range,>Range
10/22/21 16:38:20,>Range,-123.7,>Range,>Range
10/22/21 16:38:21,>Range,-124,>Range,>Range
10/22/21 16:38:22,>Range,-122.8,>Range,>Range
10/22/21 16:38:23,>Range,-123.5,>Range,>Range
10/22/21 16:38:24,>Range,-122.6,>Range,>Range
10/22/21 16:38:25,>Range,-122.2,>Range,>Range
10/22/21 16:38:26,>Range,-124.2,>Range,>Range
10/22/21 16:38:27,>Range,-123.8,>Range,>Range
10/22/21 16:38:28,>Range,-125,>Range,>Range
10/22/21 16:38:29,>Range,-126.5,>Range,>Range
10/22/21 16:38:30,>Range,-123.1,>Range,>Range
10/22/21 16:38:31,>Range,-122.4,>Range,>Range
10/22/21 16:38:32,>Range,-122.1,>Range,>Range
10/22/21 16:38:33,>Range,-123.8,>Range,>Range
10/22/21 16:38:34,>Range,-124.4,>Range,>Range
10/22/21 16:38:35,>Range,-123.1,>Range,>Range
10/22/21 16:38:36,>Range,-123,>Range,>Range
10/22/21 16:38:37,>Range,-123.7,>Range,>Range
10/22/21 16:38:38,>Range,-123.7,>Range,>Range
10/22/21 16:38:39,>Range,-124.6,>Range,>Range
10/22/21 16:38:40,>Range,-123.2,>Range,>Range
10/22/21 16:38:41,>Range,-125.6,>Range,>Range
10/22/21 16:38:42,>Range,-125.9,>Range,>Range
10/22/21 16:38:43,>Range,-123.8,>Range,>Range
10/22/21 16:38:44,>Range,-123.4,>Range,>Range
10/22/21 16:38:45,>Range,-123.6,>Range,>Range
10/22/21 16:38:46,>Range,-124.8,>Range,>Range
10/22/21 16:38:47,>Range,-125.6,>Range,>Range
10/22/21 16:38:48,>Range,-123.7,>Range,>Range
10/22/21 16:38:49,>Range,-122.7,>Range,>Range
10/22/21 16:38:50,>Range,-122.9,>Range,>Range
10/22/21 16:38:51,>Range,-122.7,>Range,>Range
10/22/21 16:38:52,>Range,-122.2,>Range,>Range
10/22/21 16:38:53,>Range,-123.9,>Range,>Range
10/22/21 16:38:54,>Range,-124,>Range,>Range
10/22/21 16:38:55,>Range,-123.9,>Range,>Range
10/22/21 16:38:56,>Range,-122.8,>Range,>Range
10/22/21 16:38:57,>Range,-123.5,>Range,>Range
10/22/21 16:38:58,>Range,-122.6,>Range,>Range
10/22/21 16:38:59,>Range,-122.2,>Range,>Range
10/22/21 16:39:00,>Range,-124.2,>Range,>Range
10/22/21 16:39:01,>Range,-124,>Range,>Range
10/22/21 16:39:02,>Range,-124.8,>Range,>Range
10/22/21 16:39:03,>Range,-128,>Range,>Range
10/22/21 16:39:04,>Range,-124.2,>Range,>Range
10/22/21 16:39:05,>Range,-124.1,>Range,>Range
10/22/21 16:39:06,>Range,-125.2,>Range,>Range
10/22/21 16:39:07,>Range,-123.9,>Range,>Range
10/22/21 16:39:08,>Range,-122.8,>Range,>Range
10/22/21 16:39:09,>Range,-122.9,>Range,>Range
10/22/21 16:39:10,>Range,-125.5,>Range,>Range
10/22/21 16:39:11,>Range,-127.8,>Range,>Range
10/22/21 16:39:12,>Range,-126.9,>Range,>Range
10/22/21 16:39:13,>Range,-126.6,>Range,>Range
10/22/21 16:39:14,>Range,-127.4,>Range,>Range
10/22/21 16:39:15,>Range,-126.2,>Range,>Range
10/22/21 16:39:16,>Range,-124,>Range,>Range
10/22/21 16:39:17,>Range,-124.7,>Range,>Range
