,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:25:04+00:00,-15.4,2.0,218645.0,-15.4,False,,,,,AZ
2021-11-03 16:25:05+00:00,-15.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:06+00:00,-16.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:07+00:00,-16.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:08+00:00,-16.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:09+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:10+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:11+00:00,-16.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:12+00:00,-15.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:13+00:00,-15.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:14+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:15+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:16+00:00,-16.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:17+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:18+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:19+00:00,-15.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:20+00:00,-15.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:21+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:22+00:00,-15.2,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:23+00:00,-15.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:24+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:25+00:00,-16.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:25:26+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
