,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,342,2.0,3.0,1.0,1.0,,2021-07-30 15:32:55+00:00,,,,Methane,121.82364299999999,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:32:44+00:00,NASA-GEOS,CarbonMapper,1,,4206.0,2.0,162928.0,4206.0,False,,4210.833333333335,4205.333333333325,4185.788888888887,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,459.495,True,True,ER,-1.0,67.97166429939286,54.00730642558926,82.27861483524227,68.0463689187737,53.87503553495809,82.2325031817238,67.727495033068,53.785589017781234,81.94328249023522
1,343,3.0,190.0,1.0,1.0,,2021-07-30 15:34:56+00:00,,,,Methane,,,#VALUE!,#VALUE!,,,,,2.0,,2021-07-30 15:34:32+00:00,NASA-GEOS,CarbonMapper,1,,4462.8,2.0,162928.0,4462.8,False,,4435.066666666651,4437.026666666654,4396.26666666665,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,745.5350000000001,True,True,FN,0.0,71.71429513367946,57.0886819842003,85.69398418125314,71.63130198057317,57.624707859058056,85.88577118643292,71.05110015373238,56.99391811717221,85.0310403028738
2,344,4.0,4.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,360.874286,467.896269,253.852303,,2.713584705,,,1.0,,2021-07-30 15:36:26+00:00,NASA-GEOS,CarbonMapper,1,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,359.8901426437254,335.3810031482278,386.45357574267257,358.75564563908347,334.32632536012284,384.8466462999509,287.94591548507157,266.8357176630529,310.16729792003
3,569,229.0,1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,157.5908179,212.8760449,102.30559090000001,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,2,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,359.77126720604014,335.12852838662735,385.94362288779195,358.59849539556853,334.1356707247624,384.89393049888855,288.014383502198,266.91273999888773,310.53556664331245
4,738,398.0,F1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,199.83242980000003,108.251997,136.2775816,80.22641241,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,3,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,359.6985079175256,335.78011871838476,386.09198309193533,358.6084641817392,334.399999123116,384.5372650345046,288.1964884282983,267.1535819792262,310.9371956209568
5,345,5.0,5.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,548.6662022999999,714.3727898,382.9596148,,2.713584705,,,1.0,,2021-07-30 15:38:29+00:00,NASA-GEOS,CarbonMapper,1,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,359.99612705691885,334.8143844660374,385.8360753165871,360.07767325950414,334.83524725694537,385.9709567207496,359.56754422543605,335.0812956302437,385.2824454776292
6,570,230.0,2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,752.4927079,940.0166487,564.9687671,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,2,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,360.3121035516441,335.63437852935255,386.46407609533844,360.0319677396775,335.6330757678225,386.4294390698628,359.72780179612647,335.13705833791715,386.1052423832024
7,739,399.0,F2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,193.238195,850.3634079,895.2936314,805.4331844,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,3,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,360.0653163260817,335.9606973967363,385.8000687219174,360.0898331960619,335.72437732079135,386.56192448486837,359.26243828578635,334.62643795673483,384.97383792170893
8,346,6.0,6.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,268.46122510000004,326.6470969,210.2753534,,2.713584705,,,1.0,,2021-07-30 15:40:16+00:00,NASA-GEOS,CarbonMapper,1,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.58558801201144,332.9017229573441,383.24255534702155,357.417587667777,333.47475134783025,382.95970065767636,357.893743134484,333.90721815162834,384.1975750679147
9,571,231.0,3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,326.8393959,379.1004638,274.5783281,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,2,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.4157995762353,332.8824695862539,383.4763143456313,357.40912620744797,333.6234586939579,382.6866555505673,357.74539680397294,333.3692655911827,383.6663239181516
10,740,400.0,F3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,188.9047379,314.4977559,346.7172462,282.27826560000005,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,3,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.6198403162299,332.8802995719199,383.8652835687318,357.73202930542766,332.93866021477186,383.9250770709261,357.89312334164225,333.2800414533054,384.593213475065
11,347,7.0,7.0,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,466.86224230000005,567.7117517,366.0127329,,2.713584705,,,1.0,,2021-07-30 15:42:25+00:00,NASA-GEOS,CarbonMapper,1,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.54260709306,333.3848088433681,383.5876666084149,358.27982183063887,333.9360784757046,384.56835983740257,358.5566799616318,333.74898941381207,384.48460557062316
12,572,232.0,4,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,463.3780648,569.8707631,356.8853666,,2.693333333,,,1.0,,2021-07-30 15:42:25+00:00,Sonic,CarbonMapper,2,,22063.8,2.0,162928.0,22063.8,False,,22115.749999999993,22151.65166666658,22191.317777777687,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,True,TP,1.0,357.2706098148435,333.11773290273567,382.7327509838641,357.99498644518957,334.3358854390223,383.4218741245354,358.8516121372632,334.88953721034807,385.02824069824754
