,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,904,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1,1.0,2021-10-18 17:28:47+00:00,NASA-GEOS,GHGSat,1,,22878.66,4.0,218645.0,22878.66,False,,22938.82033333335,23070.901499999967,23158.747111111195,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,True,TP,1.0,413.7704861908799,388.03088982833236,439.27778725389976,416.3975208649988,391.1368999636469,441.59081830865716,417.921627180577,392.1632549568664,443.47279326207865
1,1100,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:47+00:00,Sonic,GHGSat,2,,22878.66,4.0,218645.0,22878.66,False,,22938.82033333335,23070.901499999967,23158.747111111195,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,True,TP,1.0,413.9443667224329,389.2379332558914,438.8103991679467,416.15204759505673,390.8719339184995,441.39167355488087,418.0652874208013,392.9250499869767,443.23321349999435
2,1296,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:47+00:00,Sonic,GHGSat,3,,22878.66,4.0,218645.0,22878.66,False,,22938.82033333335,23070.901499999967,23158.747111111195,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,True,TP,1.0,413.8628665982235,388.80606174185107,438.97609701977444,416.05733733583327,390.273864250994,441.20908064251336,417.89252893613536,392.7143159024449,443.6499423731891
3,905,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,191.0,289.0,93.0,,4.88,,,1,1.0,2021-10-18 17:31:59+00:00,NASA-GEOS,GHGSat,1,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666668,23097.105666666615,23109.459222222413,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,True,TP,1.0,415.42886121245766,390.49402777459204,440.61656247955,416.46284861487055,391.1632451391425,441.760613987555,417.01011917806255,391.5148897369403,442.9704496500775
4,1101,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:59+00:00,Sonic,GHGSat,2,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666668,23097.105666666615,23109.459222222413,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,True,TP,1.0,415.1931295972853,389.83899990034655,440.17463108144204,416.6676391145481,391.09084288748625,442.1208433656651,416.9195838265071,391.4250195429888,442.316317829057
5,1297,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:59+00:00,Sonic,GHGSat,3,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666668,23097.105666666615,23109.459222222413,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,True,TP,1.0,415.30071548526166,389.6736888353242,440.66360274807784,416.89377684771114,391.52331359523043,442.6173710503455,417.0526604477442,391.5293487141635,442.5738430910379
6,906,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,171.0,256.0,86.0,,4.88,,,1,1.0,2021-10-18 17:34:45+00:00,NASA-GEOS,GHGSat,1,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999965,22730.011499999982,22744.064444444695,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,True,TP,1.0,410.0278150250053,385.01231548726065,434.7475001938264,410.2687895385869,384.9197873247913,435.55359332214226,410.11638619788766,384.5226609304724,435.29340849655284
7,1102,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:45+00:00,Sonic,GHGSat,2,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999965,22730.011499999982,22744.064444444695,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,True,TP,1.0,409.9527805127702,384.4383380120709,435.25479699714003,410.19719398525336,385.2375447437024,434.9303535343492,410.24359508661183,385.2844835073583,435.4242055709228
8,1298,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:45+00:00,Sonic,GHGSat,3,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999965,22730.011499999982,22744.064444444695,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,True,TP,1.0,409.96520170636035,384.3649058870454,435.348739831678,410.0658413863448,384.714650327107,435.04357326683976,410.38033523689916,385.5762674488117,435.727259967657
9,907,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:40:19+00:00,NASA-GEOS,GHGSat,1,,22288.48,4.0,218645.0,22288.48,False,,22242.310333333342,22182.920166666674,22252.780444444725,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12185.02,True,True,TP,1.0,401.41861112566414,376.6715096793789,426.5071974289567,400.2136682774585,375.6762827415391,424.44811627537473,401.6462417194905,376.6662549250117,426.62469534810367
